"","item","prob","polarity","predicate","prior_type","model"
"75","Julian",0.575224498530219,"Embedded: p","think","high_prior","RSA"
"76","Jayden",0.409296209763854,"Embedded: not p","think","high_prior","RSA"
"77","Zoe",0.464910750406556,"Embedded: p","think","low_prior","RSA"
"78","Tony",0.608713303765471,"Embedded: p","think","high_prior","RSA"
"79","Olivia",0.469915778097508,"Embedded: p","think","low_prior","RSA"
"80","Jayden",0.766045559257312,"Embedded: p","know","low_prior","RSA"
"81","Isabella",0.85344880551056,"Embedded: not p","know","low_prior","RSA"
"82","Charley",0.522639749945916,"Embedded: not p","think","low_prior","RSA"
"83","Josie",0.4559079885313,"Embedded: p","think","low_prior","RSA"
"84","Josh",0.388712963042741,"Polar","Polar","low_prior","RSA"
"85","Zoe",0.378703173892687,"Embedded: not p","think","high_prior","RSA"
"86","Jayden",0.896918002695814,"Embedded: p","know","high_prior","RSA"
"87","Grace",0.931299111868228,"Embedded: p","know","high_prior","RSA"
"88","Zoe",0.768910292736694,"Embedded: p","know","low_prior","RSA"
"89","Charley",0.633298769082515,"Embedded: p","think","high_prior","RSA"
"90","Tony",0.837861265306185,"Embedded: not p","know","low_prior","RSA"
"91","Isabella",0.454883467552615,"Embedded: p","think","low_prior","RSA"
"92","Charley",0.798050401197373,"Embedded: p","know","low_prior","RSA"
"93","Olivia",0.836448511262176,"Embedded: not p","know","low_prior","RSA"
"94","Josie",0.912872857621473,"Embedded: p","know","high_prior","RSA"
"95","Jon",0.473579702259405,"Embedded: p","think","low_prior","RSA"
"96","Jayden",0.64330226475377,"Polar","Polar","high_prior","RSA"
"97","Isabella",0.454258555451968,"Embedded: not p","think","high_prior","RSA"
"98","Emily",0.740293621650646,"Embedded: not p","know","high_prior","RSA"
"99","Josie",0.67949974339776,"Polar","Polar","high_prior","RSA"
"100","Jackson",0.466203554988485,"Embedded: p","think","low_prior","RSA"
"101","Owen",0.787786931077822,"Embedded: p","know","low_prior","RSA"
"102","Jayden",0.58992609215753,"Embedded: p","think","high_prior","RSA"
"103","Josh",0.736080053809711,"Embedded: not p","know","high_prior","RSA"
"104","Zoe",0.67125291190639,"Embedded: not p","know","high_prior","RSA"
"105","Isabella",0.758642996761115,"Embedded: p","know","low_prior","RSA"
"106","Owen",0.710942656611427,"Polar","Polar","high_prior","RSA"
"107","Olivia",0.397322438806459,"Embedded: not p","think","high_prior","RSA"
"108","Grace",0.78932115450391,"Embedded: p","know","low_prior","RSA"
"109","Jackson",0.716540775003345,"Polar","Polar","high_prior","RSA"
"110","Emma",0.60148317141827,"Embedded: p","think","high_prior","RSA"
"111","Isabella",0.567817084689515,"Embedded: not p","think","low_prior","RSA"
"112","Jon",0.617463483265724,"Embedded: p","think","high_prior","RSA"
"113","Mary",0.651862199893605,"Embedded: not p","know","high_prior","RSA"
"114","Zoe",0.352885562809376,"Polar","Polar","low_prior","RSA"
"115","Mary",0.835512937514143,"Embedded: not p","know","low_prior","RSA"
"116","Charley",0.418997004035494,"Polar","Polar","low_prior","RSA"
"117","Frank",0.764774696899453,"Embedded: p","know","low_prior","RSA"
"118","Jayden",0.700726817263887,"Embedded: not p","know","high_prior","RSA"
"119","Owen",0.48334611960486,"Embedded: p","think","low_prior","RSA"
"120","Danny",0.903304981950442,"Embedded: p","know","high_prior","RSA"
"121","Grace",0.399192579474005,"Polar","Polar","low_prior","RSA"
"122","Josie",0.391005286216022,"Embedded: not p","think","high_prior","RSA"
"123","Frank",0.560787596864577,"Embedded: not p","think","low_prior","RSA"
"124","Josh",0.480333329942221,"Embedded: p","think","low_prior","RSA"
"125","Jon",0.925114529015202,"Embedded: p","know","high_prior","RSA"
"126","Emily",0.846874723793861,"Embedded: not p","know","low_prior","RSA"
"127","Josie",0.759692040682042,"Embedded: p","know","low_prior","RSA"
"128","Charley",0.744059096760397,"Polar","Polar","high_prior","RSA"
"129","Josh",0.824667125680831,"Embedded: not p","know","low_prior","RSA"
"130","Emma",0.496224008923407,"Embedded: p","think","low_prior","RSA"
"131","Charley",0.651675923333591,"Embedded: not p","know","high_prior","RSA"
"132","Jackson",0.62145298894715,"Embedded: p","think","high_prior","RSA"
"133","Jon",0.376971220935977,"Embedded: not p","think","high_prior","RSA"
"134","Emma",0.800973065656872,"Embedded: p","know","low_prior","RSA"
"135","Josie",0.331971710352685,"Polar","Polar","low_prior","RSA"
"136","Josh",0.570682179162666,"Polar","Polar","high_prior","RSA"
"137","Tony",0.468666566924878,"Embedded: p","think","low_prior","RSA"
"138","Isabella",0.744044385583789,"Embedded: not p","know","high_prior","RSA"
"139","Danny",0.596163766392377,"Embedded: p","think","high_prior","RSA"
"140","Frank",0.460871830195409,"Embedded: p","think","low_prior","RSA"
"141","Jon",0.70727295982034,"Polar","Polar","high_prior","RSA"
"142","Emily",0.450365374207096,"Embedded: not p","think","high_prior","RSA"
"143","Jackson",0.554528908679762,"Embedded: not p","think","low_prior","RSA"
"144","Tony",0.916154905149278,"Embedded: p","know","high_prior","RSA"
"145","Isabella",0.554322419445622,"Polar","Polar","high_prior","RSA"
"146","Jackson",0.840646727163889,"Embedded: not p","know","low_prior","RSA"
"147","Josh",0.784702027258009,"Embedded: p","know","low_prior","RSA"
"148","Owen",0.375116888922699,"Embedded: not p","think","high_prior","RSA"
"149","Frank",0.701649216140275,"Embedded: not p","know","high_prior","RSA"
"150","Jon",0.545870358667218,"Embedded: not p","think","low_prior","RSA"
"151","Owen",0.821259910893698,"Embedded: not p","know","low_prior","RSA"
"152","Frank",0.896082859625906,"Embedded: p","know","high_prior","RSA"
"153","Danny",0.488676026973229,"Embedded: p","think","low_prior","RSA"
"154","Julian",0.462346799822459,"Polar","Polar","low_prior","RSA"
"155","Tony",0.361610506732914,"Polar","Polar","low_prior","RSA"
"156","Zoe",0.556046477773482,"Embedded: not p","think","low_prior","RSA"
"157","Julian",0.78882037022384,"Embedded: not p","know","low_prior","RSA"
"158","Josie",0.605507978918534,"Embedded: p","think","high_prior","RSA"
"159","Frank",0.343502955277298,"Polar","Polar","low_prior","RSA"
"160","Olivia",0.907362515136026,"Embedded: p","know","high_prior","RSA"
"161","Jackson",0.372288107489458,"Embedded: not p","think","high_prior","RSA"
"162","Danny",0.528149416047816,"Embedded: not p","think","low_prior","RSA"
"163","Mary",0.941160192929476,"Embedded: p","know","high_prior","RSA"
"164","Emily",0.562026969989498,"Polar","Polar","high_prior","RSA"
"165","Danny",0.81523222850194,"Embedded: not p","know","low_prior","RSA"
"166","Emily",0.764595192635644,"Embedded: p","know","low_prior","RSA"
"167","Zoe",0.703845449448928,"Polar","Polar","high_prior","RSA"
"168","Grace",0.484844478305253,"Embedded: p","think","low_prior","RSA"
"169","Olivia",0.774035120810011,"Embedded: p","know","low_prior","RSA"
"170","Grace",0.66275356739531,"Embedded: not p","know","high_prior","RSA"
"171","Julian",0.717353098156504,"Embedded: not p","know","high_prior","RSA"
"172","Josh",0.445991816290703,"Embedded: not p","think","high_prior","RSA"
"173","Julian",0.881864511607253,"Embedded: p","know","high_prior","RSA"
"174","Jayden",0.559330658124881,"Embedded: not p","think","low_prior","RSA"
"175","Jackson",0.355888810552283,"Polar","Polar","low_prior","RSA"
"176","Danny",0.69367252596906,"Embedded: not p","know","high_prior","RSA"
"177","Frank",0.410253632323593,"Embedded: not p","think","high_prior","RSA"
"178","Emily",0.560993383678756,"Embedded: not p","think","low_prior","RSA"
"179","Tony",0.77275600850888,"Embedded: p","know","low_prior","RSA"
"180","Owen",0.395711819544837,"Polar","Polar","low_prior","RSA"
