verb,embedded_type,prior_type,item,prior,prompt,target,question,alt_question
confirm,p,high_prior,Josie,Josie loves France.,Fact: Josie loves France. Sentence: Kevin asks: Did Amanda confirm that Josie went on vacation to France? Question: Does Kevin believe that Josie went on vacation to France?,Kevin asks: Did Amanda confirm that Josie went on vacation to France?,Does Kevin believe that Josie went on vacation to France?,Does Kevin believe that Josie didn't go on vacation to France?
demonstrate,p,high_prior,Josie,Josie loves France.,Fact: Josie loves France. Sentence: Daniel asks: Did Eric demonstrate that Josie went on vacation to France? Question: Does Daniel believe that Josie went on vacation to France?,Daniel asks: Did Eric demonstrate that Josie went on vacation to France?,Does Daniel believe that Josie went on vacation to France?,Does Daniel believe that Josie didn't go on vacation to France?
discover,p,high_prior,Josie,Josie loves France.,Fact: Josie loves France. Sentence: Ashley asks: Did Gary discover that Josie went on vacation to France? Question: Does Ashley believe that Josie went on vacation to France?,Ashley asks: Did Gary discover that Josie went on vacation to France?,Does Ashley believe that Josie went on vacation to France?,Does Ashley believe that Josie didn't go on vacation to France?
establish,p,high_prior,Josie,Josie loves France.,Fact: Josie loves France. Sentence: Donna asks: Did Deborah establish that Josie went on vacation to France? Question: Does Donna believe that Josie went on vacation to France?,Donna asks: Did Deborah establish that Josie went on vacation to France?,Does Donna believe that Josie went on vacation to France?,Does Donna believe that Josie didn't go on vacation to France?
hear,p,high_prior,Josie,Josie loves France.,Fact: Josie loves France. Sentence: Dorothy asks: Did Rebecca hear that Josie went on vacation to France? Question: Does Dorothy believe that Josie went on vacation to France?,Dorothy asks: Did Rebecca hear that Josie went on vacation to France?,Does Dorothy believe that Josie went on vacation to France?,Does Dorothy believe that Josie didn't go on vacation to France?
inform,p,high_prior,Josie,Josie loves France.,Fact: Josie loves France. Sentence: Karen asks: Did Eric inform Jane that Josie went on vacation to France? Question: Does Karen believe that Josie went on vacation to France?,Karen asks: Did Eric inform Jane that Josie went on vacation to France?,Does Karen believe that Josie went on vacation to France?,Does Karen believe that Josie didn't go on vacation to France?
know,p,high_prior,Josie,Josie loves France.,Fact: Josie loves France. Sentence: Kevin asks: Does Jeffrey know that Josie went on vacation to France? Question: Does Kevin believe that Josie went on vacation to France?,Kevin asks: Does Jeffrey know that Josie went on vacation to France?,Does Kevin believe that Josie went on vacation to France?,Does Kevin believe that Josie didn't go on vacation to France?
pretend,p,high_prior,Josie,Josie loves France.,Fact: Josie loves France. Sentence: Ashley asks: Did Emily pretend that Josie went on vacation to France? Question: Does Ashley believe that Josie went on vacation to France?,Ashley asks: Did Emily pretend that Josie went on vacation to France?,Does Ashley believe that Josie went on vacation to France?,Does Ashley believe that Josie didn't go on vacation to France?
prove,p,high_prior,Josie,Josie loves France.,Fact: Josie loves France. Sentence: Donna asks: Did Carol prove that Josie went on vacation to France? Question: Does Donna believe that Josie went on vacation to France?,Donna asks: Did Carol prove that Josie went on vacation to France?,Does Donna believe that Josie went on vacation to France?,Does Donna believe that Josie didn't go on vacation to France?
reveal,p,high_prior,Josie,Josie loves France.,Fact: Josie loves France. Sentence: Daniel asks: Did Ryan reveal that Josie went on vacation to France? Question: Does Daniel believe that Josie went on vacation to France?,Daniel asks: Did Ryan reveal that Josie went on vacation to France?,Does Daniel believe that Josie went on vacation to France?,Does Daniel believe that Josie didn't go on vacation to France?
say,p,high_prior,Josie,Josie loves France.,Fact: Josie loves France. Sentence: Christopher asks: Did Jason say that Josie went on vacation to France? Question: Does Christopher believe that Josie went on vacation to France?,Christopher asks: Did Jason say that Josie went on vacation to France?,Does Christopher believe that Josie went on vacation to France?,Does Christopher believe that Josie didn't go on vacation to France?
see,p,high_prior,Josie,Josie loves France.,Fact: Josie loves France. Sentence: Dorothy asks: Did Eric see that Josie went on vacation to France? Question: Does Dorothy believe that Josie went on vacation to France?,Dorothy asks: Did Eric see that Josie went on vacation to France?,Does Dorothy believe that Josie went on vacation to France?,Does Dorothy believe that Josie didn't go on vacation to France?
suggest,p,high_prior,Josie,Josie loves France.,Fact: Josie loves France. Sentence: Ashley asks: Did Ryan suggest that Josie went on vacation to France? Question: Does Ashley believe that Josie went on vacation to France?,Ashley asks: Did Ryan suggest that Josie went on vacation to France?,Does Ashley believe that Josie went on vacation to France?,Does Ashley believe that Josie didn't go on vacation to France?
think,p,high_prior,Josie,Josie loves France.,Fact: Josie loves France. Sentence: Dorothy asks: Does Sharon think that Josie went on vacation to France? Question: Does Dorothy believe that Josie went on vacation to France?,Dorothy asks: Does Sharon think that Josie went on vacation to France?,Does Dorothy believe that Josie went on vacation to France?,Does Dorothy believe that Josie didn't go on vacation to France?
polar,p,high_prior,Josie,Josie loves France.,Fact: Josie loves France. Sentence: Scott asks: Did Josie go on vacation to France? Question: Does Scott believe that Josie went on vacation to France?,Scott asks: Did Josie go on vacation to France?,Does Scott believe that Josie went on vacation to France?,
acknowledge,p,high_prior,Emma,Emma is in law school.,Fact: Emma is in law school. Sentence: Nancy asks: Did Jacob acknowledge that Emma studied on Saturday morning? Question: Does Nancy believe that Emma studied on Saturday morning?,Nancy asks: Did Jacob acknowledge that Emma studied on Saturday morning?,Does Nancy believe that Emma studied on Saturday morning?,Does Nancy believe that Emma didn't study on Saturday morning?
admit,p,high_prior,Emma,Emma is in law school.,Fact: Emma is in law school. Sentence: Nancy asks: Did Gary admit that Emma studied on Saturday morning? Question: Does Nancy believe that Emma studied on Saturday morning?,Nancy asks: Did Gary admit that Emma studied on Saturday morning?,Does Nancy believe that Emma studied on Saturday morning?,Does Nancy believe that Emma didn't study on Saturday morning?
announce,p,high_prior,Emma,Emma is in law school.,Fact: Emma is in law school. Sentence: Brian asks: Did Jason announce that Emma studied on Saturday morning? Question: Does Brian believe that Emma studied on Saturday morning?,Brian asks: Did Jason announce that Emma studied on Saturday morning?,Does Brian believe that Emma studied on Saturday morning?,Does Brian believe that Emma didn't study on Saturday morning?
annoyed,p,high_prior,Emma,Emma is in law school.,Fact: Emma is in law school. Sentence: Kathleen asks: Is Jonathan annoyed that Emma studied on Saturday morning? Question: Does Kathleen believe that Emma studied on Saturday morning?,Kathleen asks: Is Jonathan annoyed that Emma studied on Saturday morning?,Does Kathleen believe that Emma studied on Saturday morning?,Does Kathleen believe that Emma didn't study on Saturday morning?
right,p,high_prior,Emma,Emma is in law school.,Fact: Emma is in law school. Sentence: Donna asks: Is Emily right that Emma studied on Saturday morning? Question: Does Donna believe that Emma studied on Saturday morning?,Donna asks: Is Emily right that Emma studied on Saturday morning?,Does Donna believe that Emma studied on Saturday morning?,Does Donna believe that Emma didn't study on Saturday morning?
confess,p,high_prior,Emma,Emma is in law school.,Fact: Emma is in law school. Sentence: Jennifer asks: Did Deborah confess that Emma studied on Saturday morning? Question: Does Jennifer believe that Emma studied on Saturday morning?,Jennifer asks: Did Deborah confess that Emma studied on Saturday morning?,Does Jennifer believe that Emma studied on Saturday morning?,Does Jennifer believe that Emma didn't study on Saturday morning?
confirm,p,high_prior,Emma,Emma is in law school.,Fact: Emma is in law school. Sentence: Dorothy asks: Did Jonathan confirm that Emma studied on Saturday morning? Question: Does Dorothy believe that Emma studied on Saturday morning?,Dorothy asks: Did Jonathan confirm that Emma studied on Saturday morning?,Does Dorothy believe that Emma studied on Saturday morning?,Does Dorothy believe that Emma didn't study on Saturday morning?
demonstrate,p,high_prior,Emma,Emma is in law school.,Fact: Emma is in law school. Sentence: Steven asks: Did Timothy demonstrate that Emma studied on Saturday morning? Question: Does Steven believe that Emma studied on Saturday morning?,Steven asks: Did Timothy demonstrate that Emma studied on Saturday morning?,Does Steven believe that Emma studied on Saturday morning?,Does Steven believe that Emma didn't study on Saturday morning?
discover,p,high_prior,Emma,Emma is in law school.,Fact: Emma is in law school. Sentence: Cynthia asks: Did Gary discover that Emma studied on Saturday morning? Question: Does Cynthia believe that Emma studied on Saturday morning?,Cynthia asks: Did Gary discover that Emma studied on Saturday morning?,Does Cynthia believe that Emma studied on Saturday morning?,Does Cynthia believe that Emma didn't study on Saturday morning?
establish,p,high_prior,Emma,Emma is in law school.,Fact: Emma is in law school. Sentence: Kenneth asks: Did Nicholas establish that Emma studied on Saturday morning? Question: Does Kenneth believe that Emma studied on Saturday morning?,Kenneth asks: Did Nicholas establish that Emma studied on Saturday morning?,Does Kenneth believe that Emma studied on Saturday morning?,Does Kenneth believe that Emma didn't study on Saturday morning?
hear,p,high_prior,Emma,Emma is in law school.,Fact: Emma is in law school. Sentence: Ashley asks: Did Jonathan hear that Emma studied on Saturday morning? Question: Does Ashley believe that Emma studied on Saturday morning?,Ashley asks: Did Jonathan hear that Emma studied on Saturday morning?,Does Ashley believe that Emma studied on Saturday morning?,Does Ashley believe that Emma didn't study on Saturday morning?
inform,p,high_prior,Emma,Emma is in law school.,Fact: Emma is in law school. Sentence: Donna asks: Did Timothy inform Jane that Emma studied on Saturday morning? Question: Does Donna believe that Emma studied on Saturday morning?,Donna asks: Did Timothy inform Jane that Emma studied on Saturday morning?,Does Donna believe that Emma studied on Saturday morning?,Does Donna believe that Emma didn't study on Saturday morning?
know,p,high_prior,Emma,Emma is in law school.,Fact: Emma is in law school. Sentence: Betty asks: Does Jonathan know that Emma studied on Saturday morning? Question: Does Betty believe that Emma studied on Saturday morning?,Betty asks: Does Jonathan know that Emma studied on Saturday morning?,Does Betty believe that Emma studied on Saturday morning?,Does Betty believe that Emma didn't study on Saturday morning?
pretend,p,high_prior,Emma,Emma is in law school.,Fact: Emma is in law school. Sentence: Jennifer asks: Did Nicholas pretend that Emma studied on Saturday morning? Question: Does Jennifer believe that Emma studied on Saturday morning?,Jennifer asks: Did Nicholas pretend that Emma studied on Saturday morning?,Does Jennifer believe that Emma studied on Saturday morning?,Does Jennifer believe that Emma didn't study on Saturday morning?
prove,p,high_prior,Emma,Emma is in law school.,Fact: Emma is in law school. Sentence: Scott asks: Did Jeffrey prove that Emma studied on Saturday morning? Question: Does Scott believe that Emma studied on Saturday morning?,Scott asks: Did Jeffrey prove that Emma studied on Saturday morning?,Does Scott believe that Emma studied on Saturday morning?,Does Scott believe that Emma didn't study on Saturday morning?
reveal,p,high_prior,Emma,Emma is in law school.,Fact: Emma is in law school. Sentence: Lisa asks: Did Rebecca reveal that Emma studied on Saturday morning? Question: Does Lisa believe that Emma studied on Saturday morning?,Lisa asks: Did Rebecca reveal that Emma studied on Saturday morning?,Does Lisa believe that Emma studied on Saturday morning?,Does Lisa believe that Emma didn't study on Saturday morning?
say,p,high_prior,Emma,Emma is in law school.,Fact: Emma is in law school. Sentence: Kevin asks: Did Sharon say that Emma studied on Saturday morning? Question: Does Kevin believe that Emma studied on Saturday morning?,Kevin asks: Did Sharon say that Emma studied on Saturday morning?,Does Kevin believe that Emma studied on Saturday morning?,Does Kevin believe that Emma didn't study on Saturday morning?
see,p,high_prior,Emma,Emma is in law school.,Fact: Emma is in law school. Sentence: Dorothy asks: Did Sharon see that Emma studied on Saturday morning? Question: Does Dorothy believe that Emma studied on Saturday morning?,Dorothy asks: Did Sharon see that Emma studied on Saturday morning?,Does Dorothy believe that Emma studied on Saturday morning?,Does Dorothy believe that Emma didn't study on Saturday morning?
suggest,p,high_prior,Emma,Emma is in law school.,Fact: Emma is in law school. Sentence: Lisa asks: Did Laura suggest that Emma studied on Saturday morning? Question: Does Lisa believe that Emma studied on Saturday morning?,Lisa asks: Did Laura suggest that Emma studied on Saturday morning?,Does Lisa believe that Emma studied on Saturday morning?,Does Lisa believe that Emma didn't study on Saturday morning?
think,p,high_prior,Emma,Emma is in law school.,Fact: Emma is in law school. Sentence: Steven asks: Does Ronald think that Emma studied on Saturday morning? Question: Does Steven believe that Emma studied on Saturday morning?,Steven asks: Does Ronald think that Emma studied on Saturday morning?,Does Steven believe that Emma studied on Saturday morning?,Does Steven believe that Emma didn't study on Saturday morning?
polar,p,high_prior,Emma,Emma is in law school.,Fact: Emma is in law school. Sentence: Karen asks: Did Emma study on Saturday morning? Question: Does Karen believe that Emma studied on Saturday morning?,Karen asks: Did Emma study on Saturday morning?,Does Karen believe that Emma studied on Saturday morning?,
acknowledge,p,high_prior,Julian,Julian is Cuban.,Fact: Julian is Cuban. Sentence: Cynthia asks: Did Nicholas acknowledge that Julian dances salsa? Question: Does Cynthia believe that Julian dances salsa?,Cynthia asks: Did Nicholas acknowledge that Julian dances salsa?,Does Cynthia believe that Julian dances salsa?,Does Cynthia believe that Julian doesn't dance salsa?
admit,p,high_prior,Julian,Julian is Cuban.,Fact: Julian is Cuban. Sentence: Kenneth asks: Did Timothy admit that Julian dances salsa? Question: Does Kenneth believe that Julian dances salsa?,Kenneth asks: Did Timothy admit that Julian dances salsa?,Does Kenneth believe that Julian dances salsa?,Does Kenneth believe that Julian doesn't dance salsa?
announce,p,high_prior,Julian,Julian is Cuban.,Fact: Julian is Cuban. Sentence: Steven asks: Did Emily announce that Julian dances salsa? Question: Does Steven believe that Julian dances salsa?,Steven asks: Did Emily announce that Julian dances salsa?,Does Steven believe that Julian dances salsa?,Does Steven believe that Julian doesn't dance salsa?
annoyed,p,high_prior,Julian,Julian is Cuban.,Fact: Julian is Cuban. Sentence: Betty asks: Is Sharon annoyed that Julian dances salsa? Question: Does Betty believe that Julian dances salsa?,Betty asks: Is Sharon annoyed that Julian dances salsa?,Does Betty believe that Julian dances salsa?,Does Betty believe that Julian doesn't dance salsa?
right,p,high_prior,Julian,Julian is Cuban.,Fact: Julian is Cuban. Sentence: George asks: Is Jason right that Julian dances salsa? Question: Does George believe that Julian dances salsa?,George asks: Is Jason right that Julian dances salsa?,Does George believe that Julian dances salsa?,Does George believe that Julian doesn't dance salsa?
confess,p,high_prior,Julian,Julian is Cuban.,Fact: Julian is Cuban. Sentence: Kenneth asks: Did Gary confess that Julian dances salsa? Question: Does Kenneth believe that Julian dances salsa?,Kenneth asks: Did Gary confess that Julian dances salsa?,Does Kenneth believe that Julian dances salsa?,Does Kenneth believe that Julian doesn't dance salsa?
confirm,p,high_prior,Julian,Julian is Cuban.,Fact: Julian is Cuban. Sentence: Betty asks: Did Michelle confirm that Julian dances salsa? Question: Does Betty believe that Julian dances salsa?,Betty asks: Did Michelle confirm that Julian dances salsa?,Does Betty believe that Julian dances salsa?,Does Betty believe that Julian doesn't dance salsa?
demonstrate,p,high_prior,Julian,Julian is Cuban.,Fact: Julian is Cuban. Sentence: Sandra asks: Did Jacob demonstrate that Julian dances salsa? Question: Does Sandra believe that Julian dances salsa?,Sandra asks: Did Jacob demonstrate that Julian dances salsa?,Does Sandra believe that Julian dances salsa?,Does Sandra believe that Julian doesn't dance salsa?
discover,p,high_prior,Julian,Julian is Cuban.,Fact: Julian is Cuban. Sentence: Jennifer asks: Did Ryan discover that Julian dances salsa? Question: Does Jennifer believe that Julian dances salsa?,Jennifer asks: Did Ryan discover that Julian dances salsa?,Does Jennifer believe that Julian dances salsa?,Does Jennifer believe that Julian doesn't dance salsa?
establish,p,high_prior,Julian,Julian is Cuban.,Fact: Julian is Cuban. Sentence: Tyler asks: Did Michelle establish that Julian dances salsa? Question: Does Tyler believe that Julian dances salsa?,Tyler asks: Did Michelle establish that Julian dances salsa?,Does Tyler believe that Julian dances salsa?,Does Tyler believe that Julian doesn't dance salsa?
hear,p,high_prior,Julian,Julian is Cuban.,Fact: Julian is Cuban. Sentence: Kathleen asks: Did Nicholas hear that Julian dances salsa? Question: Does Kathleen believe that Julian dances salsa?,Kathleen asks: Did Nicholas hear that Julian dances salsa?,Does Kathleen believe that Julian dances salsa?,Does Kathleen believe that Julian doesn't dance salsa?
inform,p,high_prior,Julian,Julian is Cuban.,Fact: Julian is Cuban. Sentence: Edward asks: Did Jacob inform Jane that Julian dances salsa? Question: Does Edward believe that Julian dances salsa?,Edward asks: Did Jacob inform Jane that Julian dances salsa?,Does Edward believe that Julian dances salsa?,Does Edward believe that Julian doesn't dance salsa?
know,p,high_prior,Julian,Julian is Cuban.,Fact: Julian is Cuban. Sentence: Steven asks: Does Jason know that Julian dances salsa? Question: Does Steven believe that Julian dances salsa?,Steven asks: Does Jason know that Julian dances salsa?,Does Steven believe that Julian dances salsa?,Does Steven believe that Julian doesn't dance salsa?
pretend,p,high_prior,Julian,Julian is Cuban.,Fact: Julian is Cuban. Sentence: Kathleen asks: Did Nicholas pretend that Julian dances salsa? Question: Does Kathleen believe that Julian dances salsa?,Kathleen asks: Did Nicholas pretend that Julian dances salsa?,Does Kathleen believe that Julian dances salsa?,Does Kathleen believe that Julian doesn't dance salsa?
prove,p,high_prior,Julian,Julian is Cuban.,Fact: Julian is Cuban. Sentence: George asks: Did Sharon prove that Julian dances salsa? Question: Does George believe that Julian dances salsa?,George asks: Did Sharon prove that Julian dances salsa?,Does George believe that Julian dances salsa?,Does George believe that Julian doesn't dance salsa?
reveal,p,high_prior,Julian,Julian is Cuban.,Fact: Julian is Cuban. Sentence: Dorothy asks: Did Stephanie reveal that Julian dances salsa? Question: Does Dorothy believe that Julian dances salsa?,Dorothy asks: Did Stephanie reveal that Julian dances salsa?,Does Dorothy believe that Julian dances salsa?,Does Dorothy believe that Julian doesn't dance salsa?
say,p,high_prior,Julian,Julian is Cuban.,Fact: Julian is Cuban. Sentence: Donna asks: Did Ryan say that Julian dances salsa? Question: Does Donna believe that Julian dances salsa?,Donna asks: Did Ryan say that Julian dances salsa?,Does Donna believe that Julian dances salsa?,Does Donna believe that Julian doesn't dance salsa?
see,p,high_prior,Julian,Julian is Cuban.,Fact: Julian is Cuban. Sentence: Cynthia asks: Did Rebecca see that Julian dances salsa? Question: Does Cynthia believe that Julian dances salsa?,Cynthia asks: Did Rebecca see that Julian dances salsa?,Does Cynthia believe that Julian dances salsa?,Does Cynthia believe that Julian doesn't dance salsa?
suggest,p,high_prior,Julian,Julian is Cuban.,Fact: Julian is Cuban. Sentence: Paul asks: Did Stephanie suggest that Julian dances salsa? Question: Does Paul believe that Julian dances salsa?,Paul asks: Did Stephanie suggest that Julian dances salsa?,Does Paul believe that Julian dances salsa?,Does Paul believe that Julian doesn't dance salsa?
think,p,high_prior,Julian,Julian is Cuban.,Fact: Julian is Cuban. Sentence: Scott asks: Does Ryan think that Julian dances salsa? Question: Does Scott believe that Julian dances salsa?,Scott asks: Does Ryan think that Julian dances salsa?,Does Scott believe that Julian dances salsa?,Does Scott believe that Julian doesn't dance salsa?
polar,p,high_prior,Julian,Julian is Cuban.,Fact: Julian is Cuban. Sentence: Christopher asks: Does Julian dance salsa? Question: Does Christopher believe that Julian dances salsa?,Christopher asks: Does Julian dance salsa?,Does Christopher believe that Julian dances salsa?,
