verb,embedded_type,prior_type,item,prior,prompt,target,question,alt_question
say,p,high_prior,Mary,Mary is taking a prenatal yoga class.,Fact: Mary is taking a prenatal yoga class. Sentence: Steven asks: Did Jeffrey say that Mary is pregnant? Question: Does Steven believe that Mary isn't pregnant?,Steven asks: Did Jeffrey say that Mary is pregnant?,Does Steven believe that Mary is pregnant?,Does Steven believe that Mary isn't pregnant?
see,p,high_prior,Mary,Mary is taking a prenatal yoga class.,Fact: Mary is taking a prenatal yoga class. Sentence: Kimberly asks: Did Jason see that Mary is pregnant? Question: Does Kimberly believe that Mary isn't pregnant?,Kimberly asks: Did Jason see that Mary is pregnant?,Does Kimberly believe that Mary is pregnant?,Does Kimberly believe that Mary isn't pregnant?
suggest,p,high_prior,Mary,Mary is taking a prenatal yoga class.,Fact: Mary is taking a prenatal yoga class. Sentence: Kenneth asks: Did Ronald suggest that Mary is pregnant? Question: Does Kenneth believe that Mary isn't pregnant?,Kenneth asks: Did Ronald suggest that Mary is pregnant?,Does Kenneth believe that Mary is pregnant?,Does Kenneth believe that Mary isn't pregnant?
think,p,high_prior,Mary,Mary is taking a prenatal yoga class.,Fact: Mary is taking a prenatal yoga class. Sentence: George asks: Does Michelle think that Mary is pregnant? Question: Does George believe that Mary isn't pregnant?,George asks: Does Michelle think that Mary is pregnant?,Does George believe that Mary is pregnant?,Does George believe that Mary isn't pregnant?
acknowledge,p,high_prior,Josie,Josie loves France.,Fact: Josie loves France. Sentence: Donna asks: Did Ryan acknowledge that Josie went on vacation to France? Question: Does Donna believe that Josie didn't go on vacation to France?,Donna asks: Did Ryan acknowledge that Josie went on vacation to France?,Does Donna believe that Josie went on vacation to France?,Does Donna believe that Josie didn't go on vacation to France?
admit,p,high_prior,Josie,Josie loves France.,Fact: Josie loves France. Sentence: Lisa asks: Did Timothy admit that Josie went on vacation to France? Question: Does Lisa believe that Josie didn't go on vacation to France?,Lisa asks: Did Timothy admit that Josie went on vacation to France?,Does Lisa believe that Josie went on vacation to France?,Does Lisa believe that Josie didn't go on vacation to France?
announce,p,high_prior,Josie,Josie loves France.,Fact: Josie loves France. Sentence: Karen asks: Did Amanda announce that Josie went on vacation to France? Question: Does Karen believe that Josie didn't go on vacation to France?,Karen asks: Did Amanda announce that Josie went on vacation to France?,Does Karen believe that Josie went on vacation to France?,Does Karen believe that Josie didn't go on vacation to France?
annoyed,p,high_prior,Josie,Josie loves France.,Fact: Josie loves France. Sentence: Sandra asks: Is Michelle annoyed that Josie went on vacation to France? Question: Does Sandra believe that Josie didn't go on vacation to France?,Sandra asks: Is Michelle annoyed that Josie went on vacation to France?,Does Sandra believe that Josie went on vacation to France?,Does Sandra believe that Josie didn't go on vacation to France?
right,p,high_prior,Josie,Josie loves France.,Fact: Josie loves France. Sentence: Cynthia asks: Is Sharon right that Josie went on vacation to France? Question: Does Cynthia believe that Josie didn't go on vacation to France?,Cynthia asks: Is Sharon right that Josie went on vacation to France?,Does Cynthia believe that Josie went on vacation to France?,Does Cynthia believe that Josie didn't go on vacation to France?
confess,p,high_prior,Josie,Josie loves France.,Fact: Josie loves France. Sentence: Christopher asks: Did Ronald confess that Josie went on vacation to France? Question: Does Christopher believe that Josie didn't go on vacation to France?,Christopher asks: Did Ronald confess that Josie went on vacation to France?,Does Christopher believe that Josie went on vacation to France?,Does Christopher believe that Josie didn't go on vacation to France?
confirm,p,high_prior,Josie,Josie loves France.,Fact: Josie loves France. Sentence: Nancy asks: Did Eric confirm that Josie went on vacation to France? Question: Does Nancy believe that Josie didn't go on vacation to France?,Nancy asks: Did Eric confirm that Josie went on vacation to France?,Does Nancy believe that Josie went on vacation to France?,Does Nancy believe that Josie didn't go on vacation to France?
demonstrate,p,high_prior,Josie,Josie loves France.,Fact: Josie loves France. Sentence: Nancy asks: Did Amanda demonstrate that Josie went on vacation to France? Question: Does Nancy believe that Josie didn't go on vacation to France?,Nancy asks: Did Amanda demonstrate that Josie went on vacation to France?,Does Nancy believe that Josie went on vacation to France?,Does Nancy believe that Josie didn't go on vacation to France?
discover,p,high_prior,Josie,Josie loves France.,Fact: Josie loves France. Sentence: Lisa asks: Did Stephanie discover that Josie went on vacation to France? Question: Does Lisa believe that Josie didn't go on vacation to France?,Lisa asks: Did Stephanie discover that Josie went on vacation to France?,Does Lisa believe that Josie went on vacation to France?,Does Lisa believe that Josie didn't go on vacation to France?
establish,p,high_prior,Josie,Josie loves France.,Fact: Josie loves France. Sentence: Cynthia asks: Did Ronald establish that Josie went on vacation to France? Question: Does Cynthia believe that Josie didn't go on vacation to France?,Cynthia asks: Did Ronald establish that Josie went on vacation to France?,Does Cynthia believe that Josie went on vacation to France?,Does Cynthia believe that Josie didn't go on vacation to France?
hear,p,high_prior,Josie,Josie loves France.,Fact: Josie loves France. Sentence: Kevin asks: Did Ryan hear that Josie went on vacation to France? Question: Does Kevin believe that Josie didn't go on vacation to France?,Kevin asks: Did Ryan hear that Josie went on vacation to France?,Does Kevin believe that Josie went on vacation to France?,Does Kevin believe that Josie didn't go on vacation to France?
inform,p,high_prior,Josie,Josie loves France.,Fact: Josie loves France. Sentence: Kathleen asks: Did Timothy inform Jane that Josie went on vacation to France? Question: Does Kathleen believe that Josie didn't go on vacation to France?,Kathleen asks: Did Timothy inform Jane that Josie went on vacation to France?,Does Kathleen believe that Josie went on vacation to France?,Does Kathleen believe that Josie didn't go on vacation to France?
know,p,high_prior,Josie,Josie loves France.,Fact: Josie loves France. Sentence: Steven asks: Does Jonathan know that Josie went on vacation to France? Question: Does Steven believe that Josie didn't go on vacation to France?,Steven asks: Does Jonathan know that Josie went on vacation to France?,Does Steven believe that Josie went on vacation to France?,Does Steven believe that Josie didn't go on vacation to France?
pretend,p,high_prior,Josie,Josie loves France.,Fact: Josie loves France. Sentence: Donna asks: Did Michelle pretend that Josie went on vacation to France? Question: Does Donna believe that Josie didn't go on vacation to France?,Donna asks: Did Michelle pretend that Josie went on vacation to France?,Does Donna believe that Josie went on vacation to France?,Does Donna believe that Josie didn't go on vacation to France?
prove,p,high_prior,Josie,Josie loves France.,Fact: Josie loves France. Sentence: Edward asks: Did Gary prove that Josie went on vacation to France? Question: Does Edward believe that Josie didn't go on vacation to France?,Edward asks: Did Gary prove that Josie went on vacation to France?,Does Edward believe that Josie went on vacation to France?,Does Edward believe that Josie didn't go on vacation to France?
reveal,p,high_prior,Josie,Josie loves France.,Fact: Josie loves France. Sentence: Nancy asks: Did Sharon reveal that Josie went on vacation to France? Question: Does Nancy believe that Josie didn't go on vacation to France?,Nancy asks: Did Sharon reveal that Josie went on vacation to France?,Does Nancy believe that Josie went on vacation to France?,Does Nancy believe that Josie didn't go on vacation to France?
say,p,high_prior,Josie,Josie loves France.,Fact: Josie loves France. Sentence: Lisa asks: Did Melissa say that Josie went on vacation to France? Question: Does Lisa believe that Josie didn't go on vacation to France?,Lisa asks: Did Melissa say that Josie went on vacation to France?,Does Lisa believe that Josie went on vacation to France?,Does Lisa believe that Josie didn't go on vacation to France?
see,p,high_prior,Josie,Josie loves France.,Fact: Josie loves France. Sentence: Cynthia asks: Did Jonathan see that Josie went on vacation to France? Question: Does Cynthia believe that Josie didn't go on vacation to France?,Cynthia asks: Did Jonathan see that Josie went on vacation to France?,Does Cynthia believe that Josie went on vacation to France?,Does Cynthia believe that Josie didn't go on vacation to France?
suggest,p,high_prior,Josie,Josie loves France.,Fact: Josie loves France. Sentence: Kathleen asks: Did Jonathan suggest that Josie went on vacation to France? Question: Does Kathleen believe that Josie didn't go on vacation to France?,Kathleen asks: Did Jonathan suggest that Josie went on vacation to France?,Does Kathleen believe that Josie went on vacation to France?,Does Kathleen believe that Josie didn't go on vacation to France?
think,p,high_prior,Josie,Josie loves France.,Fact: Josie loves France. Sentence: Kenneth asks: Does Jacob think that Josie went on vacation to France? Question: Does Kenneth believe that Josie didn't go on vacation to France?,Kenneth asks: Does Jacob think that Josie went on vacation to France?,Does Kenneth believe that Josie went on vacation to France?,Does Kenneth believe that Josie didn't go on vacation to France?
acknowledge,p,high_prior,Emma,Emma is in law school.,Fact: Emma is in law school. Sentence: Kathleen asks: Did Sharon acknowledge that Emma studied on Saturday morning? Question: Does Kathleen believe that Emma didn't study on Saturday morning?,Kathleen asks: Did Sharon acknowledge that Emma studied on Saturday morning?,Does Kathleen believe that Emma studied on Saturday morning?,Does Kathleen believe that Emma didn't study on Saturday morning?
admit,p,high_prior,Emma,Emma is in law school.,Fact: Emma is in law school. Sentence: George asks: Did Amanda admit that Emma studied on Saturday morning? Question: Does George believe that Emma didn't study on Saturday morning?,George asks: Did Amanda admit that Emma studied on Saturday morning?,Does George believe that Emma studied on Saturday morning?,Does George believe that Emma didn't study on Saturday morning?
announce,p,high_prior,Emma,Emma is in law school.,Fact: Emma is in law school. Sentence: Brian asks: Did Jonathan announce that Emma studied on Saturday morning? Question: Does Brian believe that Emma didn't study on Saturday morning?,Brian asks: Did Jonathan announce that Emma studied on Saturday morning?,Does Brian believe that Emma studied on Saturday morning?,Does Brian believe that Emma didn't study on Saturday morning?
annoyed,p,high_prior,Emma,Emma is in law school.,Fact: Emma is in law school. Sentence: Christopher asks: Is Gary annoyed that Emma studied on Saturday morning? Question: Does Christopher believe that Emma didn't study on Saturday morning?,Christopher asks: Is Gary annoyed that Emma studied on Saturday morning?,Does Christopher believe that Emma studied on Saturday morning?,Does Christopher believe that Emma didn't study on Saturday morning?
right,p,high_prior,Emma,Emma is in law school.,Fact: Emma is in law school. Sentence: Edward asks: Is Sharon right that Emma studied on Saturday morning? Question: Does Edward believe that Emma didn't study on Saturday morning?,Edward asks: Is Sharon right that Emma studied on Saturday morning?,Does Edward believe that Emma studied on Saturday morning?,Does Edward believe that Emma didn't study on Saturday morning?
confess,p,high_prior,Emma,Emma is in law school.,Fact: Emma is in law school. Sentence: Lisa asks: Did Deborah confess that Emma studied on Saturday morning? Question: Does Lisa believe that Emma didn't study on Saturday morning?,Lisa asks: Did Deborah confess that Emma studied on Saturday morning?,Does Lisa believe that Emma studied on Saturday morning?,Does Lisa believe that Emma didn't study on Saturday morning?
confirm,p,high_prior,Emma,Emma is in law school.,Fact: Emma is in law school. Sentence: Betty asks: Did Gary confirm that Emma studied on Saturday morning? Question: Does Betty believe that Emma didn't study on Saturday morning?,Betty asks: Did Gary confirm that Emma studied on Saturday morning?,Does Betty believe that Emma studied on Saturday morning?,Does Betty believe that Emma didn't study on Saturday morning?
demonstrate,p,high_prior,Emma,Emma is in law school.,Fact: Emma is in law school. Sentence: Kevin asks: Did Michelle demonstrate that Emma studied on Saturday morning? Question: Does Kevin believe that Emma didn't study on Saturday morning?,Kevin asks: Did Michelle demonstrate that Emma studied on Saturday morning?,Does Kevin believe that Emma studied on Saturday morning?,Does Kevin believe that Emma didn't study on Saturday morning?
discover,p,high_prior,Emma,Emma is in law school.,Fact: Emma is in law school. Sentence: Dorothy asks: Did Emily discover that Emma studied on Saturday morning? Question: Does Dorothy believe that Emma didn't study on Saturday morning?,Dorothy asks: Did Emily discover that Emma studied on Saturday morning?,Does Dorothy believe that Emma studied on Saturday morning?,Does Dorothy believe that Emma didn't study on Saturday morning?
establish,p,high_prior,Emma,Emma is in law school.,Fact: Emma is in law school. Sentence: Kenneth asks: Did Nicholas establish that Emma studied on Saturday morning? Question: Does Kenneth believe that Emma didn't study on Saturday morning?,Kenneth asks: Did Nicholas establish that Emma studied on Saturday morning?,Does Kenneth believe that Emma studied on Saturday morning?,Does Kenneth believe that Emma didn't study on Saturday morning?
hear,p,high_prior,Emma,Emma is in law school.,Fact: Emma is in law school. Sentence: Tyler asks: Did Ryan hear that Emma studied on Saturday morning? Question: Does Tyler believe that Emma didn't study on Saturday morning?,Tyler asks: Did Ryan hear that Emma studied on Saturday morning?,Does Tyler believe that Emma studied on Saturday morning?,Does Tyler believe that Emma didn't study on Saturday morning?
inform,p,high_prior,Emma,Emma is in law school.,Fact: Emma is in law school. Sentence: Sandra asks: Did Jacob inform Jane that Emma studied on Saturday morning? Question: Does Sandra believe that Emma didn't study on Saturday morning?,Sandra asks: Did Jacob inform Jane that Emma studied on Saturday morning?,Does Sandra believe that Emma studied on Saturday morning?,Does Sandra believe that Emma didn't study on Saturday morning?
know,p,high_prior,Emma,Emma is in law school.,Fact: Emma is in law school. Sentence: Kimberly asks: Does Jonathan know that Emma studied on Saturday morning? Question: Does Kimberly believe that Emma didn't study on Saturday morning?,Kimberly asks: Does Jonathan know that Emma studied on Saturday morning?,Does Kimberly believe that Emma studied on Saturday morning?,Does Kimberly believe that Emma didn't study on Saturday morning?
pretend,p,high_prior,Emma,Emma is in law school.,Fact: Emma is in law school. Sentence: Tyler asks: Did Jonathan pretend that Emma studied on Saturday morning? Question: Does Tyler believe that Emma didn't study on Saturday morning?,Tyler asks: Did Jonathan pretend that Emma studied on Saturday morning?,Does Tyler believe that Emma studied on Saturday morning?,Does Tyler believe that Emma didn't study on Saturday morning?
prove,p,high_prior,Emma,Emma is in law school.,Fact: Emma is in law school. Sentence: Karen asks: Did Amanda prove that Emma studied on Saturday morning? Question: Does Karen believe that Emma didn't study on Saturday morning?,Karen asks: Did Amanda prove that Emma studied on Saturday morning?,Does Karen believe that Emma studied on Saturday morning?,Does Karen believe that Emma didn't study on Saturday morning?
reveal,p,high_prior,Emma,Emma is in law school.,Fact: Emma is in law school. Sentence: George asks: Did Carol reveal that Emma studied on Saturday morning? Question: Does George believe that Emma didn't study on Saturday morning?,George asks: Did Carol reveal that Emma studied on Saturday morning?,Does George believe that Emma studied on Saturday morning?,Does George believe that Emma didn't study on Saturday morning?
say,p,high_prior,Emma,Emma is in law school.,Fact: Emma is in law school. Sentence: Lisa asks: Did Timothy say that Emma studied on Saturday morning? Question: Does Lisa believe that Emma didn't study on Saturday morning?,Lisa asks: Did Timothy say that Emma studied on Saturday morning?,Does Lisa believe that Emma studied on Saturday morning?,Does Lisa believe that Emma didn't study on Saturday morning?
see,p,high_prior,Emma,Emma is in law school.,Fact: Emma is in law school. Sentence: Ashley asks: Did Ryan see that Emma studied on Saturday morning? Question: Does Ashley believe that Emma didn't study on Saturday morning?,Ashley asks: Did Ryan see that Emma studied on Saturday morning?,Does Ashley believe that Emma studied on Saturday morning?,Does Ashley believe that Emma didn't study on Saturday morning?
suggest,p,high_prior,Emma,Emma is in law school.,Fact: Emma is in law school. Sentence: Kathleen asks: Did Melissa suggest that Emma studied on Saturday morning? Question: Does Kathleen believe that Emma didn't study on Saturday morning?,Kathleen asks: Did Melissa suggest that Emma studied on Saturday morning?,Does Kathleen believe that Emma studied on Saturday morning?,Does Kathleen believe that Emma didn't study on Saturday morning?
think,p,high_prior,Emma,Emma is in law school.,Fact: Emma is in law school. Sentence: Nancy asks: Does Carol think that Emma studied on Saturday morning? Question: Does Nancy believe that Emma didn't study on Saturday morning?,Nancy asks: Does Carol think that Emma studied on Saturday morning?,Does Nancy believe that Emma studied on Saturday morning?,Does Nancy believe that Emma didn't study on Saturday morning?
acknowledge,p,high_prior,Julian,Julian is Cuban.,Fact: Julian is Cuban. Sentence: Kevin asks: Did Rebecca acknowledge that Julian dances salsa? Question: Does Kevin believe that Julian doesn't dance salsa?,Kevin asks: Did Rebecca acknowledge that Julian dances salsa?,Does Kevin believe that Julian dances salsa?,Does Kevin believe that Julian doesn't dance salsa?
admit,p,high_prior,Julian,Julian is Cuban.,Fact: Julian is Cuban. Sentence: George asks: Did Melissa admit that Julian dances salsa? Question: Does George believe that Julian doesn't dance salsa?,George asks: Did Melissa admit that Julian dances salsa?,Does George believe that Julian dances salsa?,Does George believe that Julian doesn't dance salsa?
announce,p,high_prior,Julian,Julian is Cuban.,Fact: Julian is Cuban. Sentence: Christopher asks: Did Rebecca announce that Julian dances salsa? Question: Does Christopher believe that Julian doesn't dance salsa?,Christopher asks: Did Rebecca announce that Julian dances salsa?,Does Christopher believe that Julian dances salsa?,Does Christopher believe that Julian doesn't dance salsa?
annoyed,p,high_prior,Julian,Julian is Cuban.,Fact: Julian is Cuban. Sentence: Scott asks: Is Michelle annoyed that Julian dances salsa? Question: Does Scott believe that Julian doesn't dance salsa?,Scott asks: Is Michelle annoyed that Julian dances salsa?,Does Scott believe that Julian dances salsa?,Does Scott believe that Julian doesn't dance salsa?
right,p,high_prior,Julian,Julian is Cuban.,Fact: Julian is Cuban. Sentence: Tyler asks: Is Timothy right that Julian dances salsa? Question: Does Tyler believe that Julian doesn't dance salsa?,Tyler asks: Is Timothy right that Julian dances salsa?,Does Tyler believe that Julian dances salsa?,Does Tyler believe that Julian doesn't dance salsa?
confess,p,high_prior,Julian,Julian is Cuban.,Fact: Julian is Cuban. Sentence: Cynthia asks: Did Nicholas confess that Julian dances salsa? Question: Does Cynthia believe that Julian doesn't dance salsa?,Cynthia asks: Did Nicholas confess that Julian dances salsa?,Does Cynthia believe that Julian dances salsa?,Does Cynthia believe that Julian doesn't dance salsa?
confirm,p,high_prior,Julian,Julian is Cuban.,Fact: Julian is Cuban. Sentence: Larry asks: Did Amanda confirm that Julian dances salsa? Question: Does Larry believe that Julian doesn't dance salsa?,Larry asks: Did Amanda confirm that Julian dances salsa?,Does Larry believe that Julian dances salsa?,Does Larry believe that Julian doesn't dance salsa?
demonstrate,p,high_prior,Julian,Julian is Cuban.,Fact: Julian is Cuban. Sentence: Sandra asks: Did Rebecca demonstrate that Julian dances salsa? Question: Does Sandra believe that Julian doesn't dance salsa?,Sandra asks: Did Rebecca demonstrate that Julian dances salsa?,Does Sandra believe that Julian dances salsa?,Does Sandra believe that Julian doesn't dance salsa?
discover,p,high_prior,Julian,Julian is Cuban.,Fact: Julian is Cuban. Sentence: Cynthia asks: Did Nicholas discover that Julian dances salsa? Question: Does Cynthia believe that Julian doesn't dance salsa?,Cynthia asks: Did Nicholas discover that Julian dances salsa?,Does Cynthia believe that Julian dances salsa?,Does Cynthia believe that Julian doesn't dance salsa?
establish,p,high_prior,Julian,Julian is Cuban.,Fact: Julian is Cuban. Sentence: Ashley asks: Did Timothy establish that Julian dances salsa? Question: Does Ashley believe that Julian doesn't dance salsa?,Ashley asks: Did Timothy establish that Julian dances salsa?,Does Ashley believe that Julian dances salsa?,Does Ashley believe that Julian doesn't dance salsa?
hear,p,high_prior,Julian,Julian is Cuban.,Fact: Julian is Cuban. Sentence: Donna asks: Did Stephanie hear that Julian dances salsa? Question: Does Donna believe that Julian doesn't dance salsa?,Donna asks: Did Stephanie hear that Julian dances salsa?,Does Donna believe that Julian dances salsa?,Does Donna believe that Julian doesn't dance salsa?
inform,p,high_prior,Julian,Julian is Cuban.,Fact: Julian is Cuban. Sentence: Tyler asks: Did Emily inform Jane that Julian dances salsa? Question: Does Tyler believe that Julian doesn't dance salsa?,Tyler asks: Did Emily inform Jane that Julian dances salsa?,Does Tyler believe that Julian dances salsa?,Does Tyler believe that Julian doesn't dance salsa?
know,p,high_prior,Julian,Julian is Cuban.,Fact: Julian is Cuban. Sentence: Larry asks: Does Eric know that Julian dances salsa? Question: Does Larry believe that Julian doesn't dance salsa?,Larry asks: Does Eric know that Julian dances salsa?,Does Larry believe that Julian dances salsa?,Does Larry believe that Julian doesn't dance salsa?
pretend,p,high_prior,Julian,Julian is Cuban.,Fact: Julian is Cuban. Sentence: Dorothy asks: Did Nicholas pretend that Julian dances salsa? Question: Does Dorothy believe that Julian doesn't dance salsa?,Dorothy asks: Did Nicholas pretend that Julian dances salsa?,Does Dorothy believe that Julian dances salsa?,Does Dorothy believe that Julian doesn't dance salsa?
prove,p,high_prior,Julian,Julian is Cuban.,Fact: Julian is Cuban. Sentence: Lisa asks: Did Gary prove that Julian dances salsa? Question: Does Lisa believe that Julian doesn't dance salsa?,Lisa asks: Did Gary prove that Julian dances salsa?,Does Lisa believe that Julian dances salsa?,Does Lisa believe that Julian doesn't dance salsa?
reveal,p,high_prior,Julian,Julian is Cuban.,Fact: Julian is Cuban. Sentence: Brian asks: Did Nicholas reveal that Julian dances salsa? Question: Does Brian believe that Julian doesn't dance salsa?,Brian asks: Did Nicholas reveal that Julian dances salsa?,Does Brian believe that Julian dances salsa?,Does Brian believe that Julian doesn't dance salsa?
say,p,high_prior,Julian,Julian is Cuban.,Fact: Julian is Cuban. Sentence: Betty asks: Did Rebecca say that Julian dances salsa? Question: Does Betty believe that Julian doesn't dance salsa?,Betty asks: Did Rebecca say that Julian dances salsa?,Does Betty believe that Julian dances salsa?,Does Betty believe that Julian doesn't dance salsa?
see,p,high_prior,Julian,Julian is Cuban.,Fact: Julian is Cuban. Sentence: Jennifer asks: Did Timothy see that Julian dances salsa? Question: Does Jennifer believe that Julian doesn't dance salsa?,Jennifer asks: Did Timothy see that Julian dances salsa?,Does Jennifer believe that Julian dances salsa?,Does Jennifer believe that Julian doesn't dance salsa?
suggest,p,high_prior,Julian,Julian is Cuban.,Fact: Julian is Cuban. Sentence: Karen asks: Did Melissa suggest that Julian dances salsa? Question: Does Karen believe that Julian doesn't dance salsa?,Karen asks: Did Melissa suggest that Julian dances salsa?,Does Karen believe that Julian dances salsa?,Does Karen believe that Julian doesn't dance salsa?
think,p,high_prior,Julian,Julian is Cuban.,Fact: Julian is Cuban. Sentence: Larry asks: Does Amanda think that Julian dances salsa? Question: Does Larry believe that Julian doesn't dance salsa?,Larry asks: Does Amanda think that Julian dances salsa?,Does Larry believe that Julian dances salsa?,Does Larry believe that Julian doesn't dance salsa?
acknowledge,p,high_prior,Isabella,Isabella is from Argentina.,Fact: Isabella is from Argentina. Sentence: Betty asks: Did Sharon acknowledge that Isabella ate a steak on Sunday? Question: Does Betty believe that Isabella didnt eat a steak on Sunday?,Betty asks: Did Sharon acknowledge that Isabella ate a steak on Sunday?,Does Betty believe that Isabella ate a steak on Sunday?,Does Betty believe that Isabella didnt eat a steak on Sunday?
admit,p,high_prior,Isabella,Isabella is from Argentina.,Fact: Isabella is from Argentina. Sentence: Paul asks: Did Sharon admit that Isabella ate a steak on Sunday? Question: Does Paul believe that Isabella didnt eat a steak on Sunday?,Paul asks: Did Sharon admit that Isabella ate a steak on Sunday?,Does Paul believe that Isabella ate a steak on Sunday?,Does Paul believe that Isabella didnt eat a steak on Sunday?
