verb,embedded_type,prior_type,item,prior,prompt,target,question,alt_question
say,p,high_prior,Mary,Mary is taking a prenatal yoga class.,Fact: Mary is taking a prenatal yoga class. Sentence: Betty asks: Did Jeffrey say that Mary is pregnant? Question: Is Betty certain that Mary is pregnant?,Betty asks: Did Jeffrey say that Mary is pregnant?,Is Betty certain that Mary is pregnant?,Is Betty certain that Mary isn't pregnant?
see,p,high_prior,Mary,Mary is taking a prenatal yoga class.,Fact: Mary is taking a prenatal yoga class. Sentence: Christopher asks: Did Ronald see that Mary is pregnant? Question: Is Christopher certain that Mary is pregnant?,Christopher asks: Did Ronald see that Mary is pregnant?,Is Christopher certain that Mary is pregnant?,Is Christopher certain that Mary isn't pregnant?
suggest,p,high_prior,Mary,Mary is taking a prenatal yoga class.,Fact: Mary is taking a prenatal yoga class. Sentence: Kenneth asks: Did Rebecca suggest that Mary is pregnant? Question: Is Kenneth certain that Mary is pregnant?,Kenneth asks: Did Rebecca suggest that Mary is pregnant?,Is Kenneth certain that Mary is pregnant?,Is Kenneth certain that Mary isn't pregnant?
think,p,high_prior,Mary,Mary is taking a prenatal yoga class.,Fact: Mary is taking a prenatal yoga class. Sentence: Scott asks: Does Emily think that Mary is pregnant? Question: Is Scott certain that Mary is pregnant?,Scott asks: Does Emily think that Mary is pregnant?,Is Scott certain that Mary is pregnant?,Is Scott certain that Mary isn't pregnant?
polar,p,high_prior,Mary,Mary is taking a prenatal yoga class.,Fact: Mary is taking a prenatal yoga class. Sentence: Jennifer asks: Is Mary pregnant? Question: Is Jennifer certain that Mary is pregnant?,Jennifer asks: Is Mary pregnant?,Is Jennifer certain that Mary is pregnant?,
acknowledge,p,high_prior,Josie,Josie loves France.,Fact: Josie loves France. Sentence: Kimberly asks: Did Laura acknowledge that Josie went on vacation to France? Question: Is Kimberly certain that Josie went on vacation to France?,Kimberly asks: Did Laura acknowledge that Josie went on vacation to France?,Is Kimberly certain that Josie went on vacation to France?,Is Kimberly certain that Josie didn't go on vacation to France?
admit,p,high_prior,Josie,Josie loves France.,Fact: Josie loves France. Sentence: George asks: Did Emily admit that Josie went on vacation to France? Question: Is George certain that Josie went on vacation to France?,George asks: Did Emily admit that Josie went on vacation to France?,Is George certain that Josie went on vacation to France?,Is George certain that Josie didn't go on vacation to France?
announce,p,high_prior,Josie,Josie loves France.,Fact: Josie loves France. Sentence: Donna asks: Did Rebecca announce that Josie went on vacation to France? Question: Is Donna certain that Josie went on vacation to France?,Donna asks: Did Rebecca announce that Josie went on vacation to France?,Is Donna certain that Josie went on vacation to France?,Is Donna certain that Josie didn't go on vacation to France?
annoyed,p,high_prior,Josie,Josie loves France.,Fact: Josie loves France. Sentence: Donna asks: Is Ronald annoyed that Josie went on vacation to France? Question: Is Donna certain that Josie went on vacation to France?,Donna asks: Is Ronald annoyed that Josie went on vacation to France?,Is Donna certain that Josie went on vacation to France?,Is Donna certain that Josie didn't go on vacation to France?
right,p,high_prior,Josie,Josie loves France.,Fact: Josie loves France. Sentence: Brian asks: Is Ryan right that Josie went on vacation to France? Question: Is Brian certain that Josie went on vacation to France?,Brian asks: Is Ryan right that Josie went on vacation to France?,Is Brian certain that Josie went on vacation to France?,Is Brian certain that Josie didn't go on vacation to France?
confess,p,high_prior,Josie,Josie loves France.,Fact: Josie loves France. Sentence: Sandra asks: Did Rebecca confess that Josie went on vacation to France? Question: Is Sandra certain that Josie went on vacation to France?,Sandra asks: Did Rebecca confess that Josie went on vacation to France?,Is Sandra certain that Josie went on vacation to France?,Is Sandra certain that Josie didn't go on vacation to France?
confirm,p,high_prior,Josie,Josie loves France.,Fact: Josie loves France. Sentence: Betty asks: Did Sharon confirm that Josie went on vacation to France? Question: Is Betty certain that Josie went on vacation to France?,Betty asks: Did Sharon confirm that Josie went on vacation to France?,Is Betty certain that Josie went on vacation to France?,Is Betty certain that Josie didn't go on vacation to France?
demonstrate,p,high_prior,Josie,Josie loves France.,Fact: Josie loves France. Sentence: Ashley asks: Did Melissa demonstrate that Josie went on vacation to France? Question: Is Ashley certain that Josie went on vacation to France?,Ashley asks: Did Melissa demonstrate that Josie went on vacation to France?,Is Ashley certain that Josie went on vacation to France?,Is Ashley certain that Josie didn't go on vacation to France?
discover,p,high_prior,Josie,Josie loves France.,Fact: Josie loves France. Sentence: Sandra asks: Did Ryan discover that Josie went on vacation to France? Question: Is Sandra certain that Josie went on vacation to France?,Sandra asks: Did Ryan discover that Josie went on vacation to France?,Is Sandra certain that Josie went on vacation to France?,Is Sandra certain that Josie didn't go on vacation to France?
establish,p,high_prior,Josie,Josie loves France.,Fact: Josie loves France. Sentence: Edward asks: Did Jeffrey establish that Josie went on vacation to France? Question: Is Edward certain that Josie went on vacation to France?,Edward asks: Did Jeffrey establish that Josie went on vacation to France?,Is Edward certain that Josie went on vacation to France?,Is Edward certain that Josie didn't go on vacation to France?
hear,p,high_prior,Josie,Josie loves France.,Fact: Josie loves France. Sentence: Brian asks: Did Gary hear that Josie went on vacation to France? Question: Is Brian certain that Josie went on vacation to France?,Brian asks: Did Gary hear that Josie went on vacation to France?,Is Brian certain that Josie went on vacation to France?,Is Brian certain that Josie didn't go on vacation to France?
inform,p,high_prior,Josie,Josie loves France.,Fact: Josie loves France. Sentence: Cynthia asks: Did Sharon inform Jane that Josie went on vacation to France? Question: Is Cynthia certain that Josie went on vacation to France?,Cynthia asks: Did Sharon inform Jane that Josie went on vacation to France?,Is Cynthia certain that Josie went on vacation to France?,Is Cynthia certain that Josie didn't go on vacation to France?
know,p,high_prior,Josie,Josie loves France.,Fact: Josie loves France. Sentence: Steven asks: Does Rebecca know that Josie went on vacation to France? Question: Is Steven certain that Josie went on vacation to France?,Steven asks: Does Rebecca know that Josie went on vacation to France?,Is Steven certain that Josie went on vacation to France?,Is Steven certain that Josie didn't go on vacation to France?
pretend,p,high_prior,Josie,Josie loves France.,Fact: Josie loves France. Sentence: Daniel asks: Did Deborah pretend that Josie went on vacation to France? Question: Is Daniel certain that Josie went on vacation to France?,Daniel asks: Did Deborah pretend that Josie went on vacation to France?,Is Daniel certain that Josie went on vacation to France?,Is Daniel certain that Josie didn't go on vacation to France?
prove,p,high_prior,Josie,Josie loves France.,Fact: Josie loves France. Sentence: Larry asks: Did Eric prove that Josie went on vacation to France? Question: Is Larry certain that Josie went on vacation to France?,Larry asks: Did Eric prove that Josie went on vacation to France?,Is Larry certain that Josie went on vacation to France?,Is Larry certain that Josie didn't go on vacation to France?
reveal,p,high_prior,Josie,Josie loves France.,Fact: Josie loves France. Sentence: Sandra asks: Did Jacob reveal that Josie went on vacation to France? Question: Is Sandra certain that Josie went on vacation to France?,Sandra asks: Did Jacob reveal that Josie went on vacation to France?,Is Sandra certain that Josie went on vacation to France?,Is Sandra certain that Josie didn't go on vacation to France?
say,p,high_prior,Josie,Josie loves France.,Fact: Josie loves France. Sentence: Brian asks: Did Ryan say that Josie went on vacation to France? Question: Is Brian certain that Josie went on vacation to France?,Brian asks: Did Ryan say that Josie went on vacation to France?,Is Brian certain that Josie went on vacation to France?,Is Brian certain that Josie didn't go on vacation to France?
see,p,high_prior,Josie,Josie loves France.,Fact: Josie loves France. Sentence: Sandra asks: Did Gary see that Josie went on vacation to France? Question: Is Sandra certain that Josie went on vacation to France?,Sandra asks: Did Gary see that Josie went on vacation to France?,Is Sandra certain that Josie went on vacation to France?,Is Sandra certain that Josie didn't go on vacation to France?
suggest,p,high_prior,Josie,Josie loves France.,Fact: Josie loves France. Sentence: Donna asks: Did Nicholas suggest that Josie went on vacation to France? Question: Is Donna certain that Josie went on vacation to France?,Donna asks: Did Nicholas suggest that Josie went on vacation to France?,Is Donna certain that Josie went on vacation to France?,Is Donna certain that Josie didn't go on vacation to France?
think,p,high_prior,Josie,Josie loves France.,Fact: Josie loves France. Sentence: Karen asks: Does Rebecca think that Josie went on vacation to France? Question: Is Karen certain that Josie went on vacation to France?,Karen asks: Does Rebecca think that Josie went on vacation to France?,Is Karen certain that Josie went on vacation to France?,Is Karen certain that Josie didn't go on vacation to France?
polar,p,high_prior,Josie,Josie loves France.,Fact: Josie loves France. Sentence: Christopher asks: Did Josie go on vacation to France? Question: Is Christopher certain that Josie went on vacation to France?,Christopher asks: Did Josie go on vacation to France?,Is Christopher certain that Josie went on vacation to France?,
acknowledge,p,high_prior,Emma,Emma is in law school.,Fact: Emma is in law school. Sentence: Ashley asks: Did Timothy acknowledge that Emma studied on Saturday morning? Question: Is Ashley certain that Emma studied on Saturday morning?,Ashley asks: Did Timothy acknowledge that Emma studied on Saturday morning?,Is Ashley certain that Emma studied on Saturday morning?,Is Ashley certain that Emma didn't study on Saturday morning?
admit,p,high_prior,Emma,Emma is in law school.,Fact: Emma is in law school. Sentence: Ashley asks: Did Laura admit that Emma studied on Saturday morning? Question: Is Ashley certain that Emma studied on Saturday morning?,Ashley asks: Did Laura admit that Emma studied on Saturday morning?,Is Ashley certain that Emma studied on Saturday morning?,Is Ashley certain that Emma didn't study on Saturday morning?
announce,p,high_prior,Emma,Emma is in law school.,Fact: Emma is in law school. Sentence: Kimberly asks: Did Jonathan announce that Emma studied on Saturday morning? Question: Is Kimberly certain that Emma studied on Saturday morning?,Kimberly asks: Did Jonathan announce that Emma studied on Saturday morning?,Is Kimberly certain that Emma studied on Saturday morning?,Is Kimberly certain that Emma didn't study on Saturday morning?
annoyed,p,high_prior,Emma,Emma is in law school.,Fact: Emma is in law school. Sentence: Dorothy asks: Is Rebecca annoyed that Emma studied on Saturday morning? Question: Is Dorothy certain that Emma studied on Saturday morning?,Dorothy asks: Is Rebecca annoyed that Emma studied on Saturday morning?,Is Dorothy certain that Emma studied on Saturday morning?,Is Dorothy certain that Emma didn't study on Saturday morning?
right,p,high_prior,Emma,Emma is in law school.,Fact: Emma is in law school. Sentence: Dorothy asks: Is Jacob right that Emma studied on Saturday morning? Question: Is Dorothy certain that Emma studied on Saturday morning?,Dorothy asks: Is Jacob right that Emma studied on Saturday morning?,Is Dorothy certain that Emma studied on Saturday morning?,Is Dorothy certain that Emma didn't study on Saturday morning?
confess,p,high_prior,Emma,Emma is in law school.,Fact: Emma is in law school. Sentence: Ashley asks: Did Deborah confess that Emma studied on Saturday morning? Question: Is Ashley certain that Emma studied on Saturday morning?,Ashley asks: Did Deborah confess that Emma studied on Saturday morning?,Is Ashley certain that Emma studied on Saturday morning?,Is Ashley certain that Emma didn't study on Saturday morning?
confirm,p,high_prior,Emma,Emma is in law school.,Fact: Emma is in law school. Sentence: Betty asks: Did Laura confirm that Emma studied on Saturday morning? Question: Is Betty certain that Emma studied on Saturday morning?,Betty asks: Did Laura confirm that Emma studied on Saturday morning?,Is Betty certain that Emma studied on Saturday morning?,Is Betty certain that Emma didn't study on Saturday morning?
demonstrate,p,high_prior,Emma,Emma is in law school.,Fact: Emma is in law school. Sentence: Daniel asks: Did Amanda demonstrate that Emma studied on Saturday morning? Question: Is Daniel certain that Emma studied on Saturday morning?,Daniel asks: Did Amanda demonstrate that Emma studied on Saturday morning?,Is Daniel certain that Emma studied on Saturday morning?,Is Daniel certain that Emma didn't study on Saturday morning?
discover,p,high_prior,Emma,Emma is in law school.,Fact: Emma is in law school. Sentence: Daniel asks: Did Nicholas discover that Emma studied on Saturday morning? Question: Is Daniel certain that Emma studied on Saturday morning?,Daniel asks: Did Nicholas discover that Emma studied on Saturday morning?,Is Daniel certain that Emma studied on Saturday morning?,Is Daniel certain that Emma didn't study on Saturday morning?
establish,p,high_prior,Emma,Emma is in law school.,Fact: Emma is in law school. Sentence: Dorothy asks: Did Nicholas establish that Emma studied on Saturday morning? Question: Is Dorothy certain that Emma studied on Saturday morning?,Dorothy asks: Did Nicholas establish that Emma studied on Saturday morning?,Is Dorothy certain that Emma studied on Saturday morning?,Is Dorothy certain that Emma didn't study on Saturday morning?
hear,p,high_prior,Emma,Emma is in law school.,Fact: Emma is in law school. Sentence: Dorothy asks: Did Carol hear that Emma studied on Saturday morning? Question: Is Dorothy certain that Emma studied on Saturday morning?,Dorothy asks: Did Carol hear that Emma studied on Saturday morning?,Is Dorothy certain that Emma studied on Saturday morning?,Is Dorothy certain that Emma didn't study on Saturday morning?
inform,p,high_prior,Emma,Emma is in law school.,Fact: Emma is in law school. Sentence: George asks: Did Deborah inform Jane that Emma studied on Saturday morning? Question: Is George certain that Emma studied on Saturday morning?,George asks: Did Deborah inform Jane that Emma studied on Saturday morning?,Is George certain that Emma studied on Saturday morning?,Is George certain that Emma didn't study on Saturday morning?
know,p,high_prior,Emma,Emma is in law school.,Fact: Emma is in law school. Sentence: Christopher asks: Does Ryan know that Emma studied on Saturday morning? Question: Is Christopher certain that Emma studied on Saturday morning?,Christopher asks: Does Ryan know that Emma studied on Saturday morning?,Is Christopher certain that Emma studied on Saturday morning?,Is Christopher certain that Emma didn't study on Saturday morning?
pretend,p,high_prior,Emma,Emma is in law school.,Fact: Emma is in law school. Sentence: Kimberly asks: Did Stephanie pretend that Emma studied on Saturday morning? Question: Is Kimberly certain that Emma studied on Saturday morning?,Kimberly asks: Did Stephanie pretend that Emma studied on Saturday morning?,Is Kimberly certain that Emma studied on Saturday morning?,Is Kimberly certain that Emma didn't study on Saturday morning?
prove,p,high_prior,Emma,Emma is in law school.,Fact: Emma is in law school. Sentence: Cynthia asks: Did Ryan prove that Emma studied on Saturday morning? Question: Is Cynthia certain that Emma studied on Saturday morning?,Cynthia asks: Did Ryan prove that Emma studied on Saturday morning?,Is Cynthia certain that Emma studied on Saturday morning?,Is Cynthia certain that Emma didn't study on Saturday morning?
reveal,p,high_prior,Emma,Emma is in law school.,Fact: Emma is in law school. Sentence: Betty asks: Did Jason reveal that Emma studied on Saturday morning? Question: Is Betty certain that Emma studied on Saturday morning?,Betty asks: Did Jason reveal that Emma studied on Saturday morning?,Is Betty certain that Emma studied on Saturday morning?,Is Betty certain that Emma didn't study on Saturday morning?
say,p,high_prior,Emma,Emma is in law school.,Fact: Emma is in law school. Sentence: Steven asks: Did Jason say that Emma studied on Saturday morning? Question: Is Steven certain that Emma studied on Saturday morning?,Steven asks: Did Jason say that Emma studied on Saturday morning?,Is Steven certain that Emma studied on Saturday morning?,Is Steven certain that Emma didn't study on Saturday morning?
see,p,high_prior,Emma,Emma is in law school.,Fact: Emma is in law school. Sentence: Karen asks: Did Jonathan see that Emma studied on Saturday morning? Question: Is Karen certain that Emma studied on Saturday morning?,Karen asks: Did Jonathan see that Emma studied on Saturday morning?,Is Karen certain that Emma studied on Saturday morning?,Is Karen certain that Emma didn't study on Saturday morning?
suggest,p,high_prior,Emma,Emma is in law school.,Fact: Emma is in law school. Sentence: Sandra asks: Did Ronald suggest that Emma studied on Saturday morning? Question: Is Sandra certain that Emma studied on Saturday morning?,Sandra asks: Did Ronald suggest that Emma studied on Saturday morning?,Is Sandra certain that Emma studied on Saturday morning?,Is Sandra certain that Emma didn't study on Saturday morning?
think,p,high_prior,Emma,Emma is in law school.,Fact: Emma is in law school. Sentence: Edward asks: Does Eric think that Emma studied on Saturday morning? Question: Is Edward certain that Emma studied on Saturday morning?,Edward asks: Does Eric think that Emma studied on Saturday morning?,Is Edward certain that Emma studied on Saturday morning?,Is Edward certain that Emma didn't study on Saturday morning?
polar,p,high_prior,Emma,Emma is in law school.,Fact: Emma is in law school. Sentence: Cynthia asks: Did Emma study on Saturday morning? Question: Is Cynthia certain that Emma studied on Saturday morning?,Cynthia asks: Did Emma study on Saturday morning?,Is Cynthia certain that Emma studied on Saturday morning?,
acknowledge,p,high_prior,Julian,Julian is Cuban.,Fact: Julian is Cuban. Sentence: Brian asks: Did Stephanie acknowledge that Julian dances salsa? Question: Is Brian certain that Julian dances salsa?,Brian asks: Did Stephanie acknowledge that Julian dances salsa?,Is Brian certain that Julian dances salsa?,Is Brian certain that Julian doesn't dance salsa?
admit,p,high_prior,Julian,Julian is Cuban.,Fact: Julian is Cuban. Sentence: Paul asks: Did Deborah admit that Julian dances salsa? Question: Is Paul certain that Julian dances salsa?,Paul asks: Did Deborah admit that Julian dances salsa?,Is Paul certain that Julian dances salsa?,Is Paul certain that Julian doesn't dance salsa?
announce,p,high_prior,Julian,Julian is Cuban.,Fact: Julian is Cuban. Sentence: Lisa asks: Did Ronald announce that Julian dances salsa? Question: Is Lisa certain that Julian dances salsa?,Lisa asks: Did Ronald announce that Julian dances salsa?,Is Lisa certain that Julian dances salsa?,Is Lisa certain that Julian doesn't dance salsa?
annoyed,p,high_prior,Julian,Julian is Cuban.,Fact: Julian is Cuban. Sentence: Kathleen asks: Is Jacob annoyed that Julian dances salsa? Question: Is Kathleen certain that Julian dances salsa?,Kathleen asks: Is Jacob annoyed that Julian dances salsa?,Is Kathleen certain that Julian dances salsa?,Is Kathleen certain that Julian doesn't dance salsa?
right,p,high_prior,Julian,Julian is Cuban.,Fact: Julian is Cuban. Sentence: Cynthia asks: Is Jacob right that Julian dances salsa? Question: Is Cynthia certain that Julian dances salsa?,Cynthia asks: Is Jacob right that Julian dances salsa?,Is Cynthia certain that Julian dances salsa?,Is Cynthia certain that Julian doesn't dance salsa?
confess,p,high_prior,Julian,Julian is Cuban.,Fact: Julian is Cuban. Sentence: Jennifer asks: Did Jonathan confess that Julian dances salsa? Question: Is Jennifer certain that Julian dances salsa?,Jennifer asks: Did Jonathan confess that Julian dances salsa?,Is Jennifer certain that Julian dances salsa?,Is Jennifer certain that Julian doesn't dance salsa?
confirm,p,high_prior,Julian,Julian is Cuban.,Fact: Julian is Cuban. Sentence: George asks: Did Stephanie confirm that Julian dances salsa? Question: Is George certain that Julian dances salsa?,George asks: Did Stephanie confirm that Julian dances salsa?,Is George certain that Julian dances salsa?,Is George certain that Julian doesn't dance salsa?
demonstrate,p,high_prior,Julian,Julian is Cuban.,Fact: Julian is Cuban. Sentence: Donna asks: Did Ryan demonstrate that Julian dances salsa? Question: Is Donna certain that Julian dances salsa?,Donna asks: Did Ryan demonstrate that Julian dances salsa?,Is Donna certain that Julian dances salsa?,Is Donna certain that Julian doesn't dance salsa?
discover,p,high_prior,Julian,Julian is Cuban.,Fact: Julian is Cuban. Sentence: Christopher asks: Did Michelle discover that Julian dances salsa? Question: Is Christopher certain that Julian dances salsa?,Christopher asks: Did Michelle discover that Julian dances salsa?,Is Christopher certain that Julian dances salsa?,Is Christopher certain that Julian doesn't dance salsa?
establish,p,high_prior,Julian,Julian is Cuban.,Fact: Julian is Cuban. Sentence: Edward asks: Did Laura establish that Julian dances salsa? Question: Is Edward certain that Julian dances salsa?,Edward asks: Did Laura establish that Julian dances salsa?,Is Edward certain that Julian dances salsa?,Is Edward certain that Julian doesn't dance salsa?
hear,p,high_prior,Julian,Julian is Cuban.,Fact: Julian is Cuban. Sentence: Sandra asks: Did Emily hear that Julian dances salsa? Question: Is Sandra certain that Julian dances salsa?,Sandra asks: Did Emily hear that Julian dances salsa?,Is Sandra certain that Julian dances salsa?,Is Sandra certain that Julian doesn't dance salsa?
inform,p,high_prior,Julian,Julian is Cuban.,Fact: Julian is Cuban. Sentence: Larry asks: Did Nicholas inform Jane that Julian dances salsa? Question: Is Larry certain that Julian dances salsa?,Larry asks: Did Nicholas inform Jane that Julian dances salsa?,Is Larry certain that Julian dances salsa?,Is Larry certain that Julian doesn't dance salsa?
know,p,high_prior,Julian,Julian is Cuban.,Fact: Julian is Cuban. Sentence: Dorothy asks: Does Nicholas know that Julian dances salsa? Question: Is Dorothy certain that Julian dances salsa?,Dorothy asks: Does Nicholas know that Julian dances salsa?,Is Dorothy certain that Julian dances salsa?,Is Dorothy certain that Julian doesn't dance salsa?
pretend,p,high_prior,Julian,Julian is Cuban.,Fact: Julian is Cuban. Sentence: Betty asks: Did Jason pretend that Julian dances salsa? Question: Is Betty certain that Julian dances salsa?,Betty asks: Did Jason pretend that Julian dances salsa?,Is Betty certain that Julian dances salsa?,Is Betty certain that Julian doesn't dance salsa?
prove,p,high_prior,Julian,Julian is Cuban.,Fact: Julian is Cuban. Sentence: Ashley asks: Did Eric prove that Julian dances salsa? Question: Is Ashley certain that Julian dances salsa?,Ashley asks: Did Eric prove that Julian dances salsa?,Is Ashley certain that Julian dances salsa?,Is Ashley certain that Julian doesn't dance salsa?
reveal,p,high_prior,Julian,Julian is Cuban.,Fact: Julian is Cuban. Sentence: Karen asks: Did Melissa reveal that Julian dances salsa? Question: Is Karen certain that Julian dances salsa?,Karen asks: Did Melissa reveal that Julian dances salsa?,Is Karen certain that Julian dances salsa?,Is Karen certain that Julian doesn't dance salsa?
say,p,high_prior,Julian,Julian is Cuban.,Fact: Julian is Cuban. Sentence: Betty asks: Did Amanda say that Julian dances salsa? Question: Is Betty certain that Julian dances salsa?,Betty asks: Did Amanda say that Julian dances salsa?,Is Betty certain that Julian dances salsa?,Is Betty certain that Julian doesn't dance salsa?
see,p,high_prior,Julian,Julian is Cuban.,Fact: Julian is Cuban. Sentence: Christopher asks: Did Amanda see that Julian dances salsa? Question: Is Christopher certain that Julian dances salsa?,Christopher asks: Did Amanda see that Julian dances salsa?,Is Christopher certain that Julian dances salsa?,Is Christopher certain that Julian doesn't dance salsa?
suggest,p,high_prior,Julian,Julian is Cuban.,Fact: Julian is Cuban. Sentence: Jennifer asks: Did Ryan suggest that Julian dances salsa? Question: Is Jennifer certain that Julian dances salsa?,Jennifer asks: Did Ryan suggest that Julian dances salsa?,Is Jennifer certain that Julian dances salsa?,Is Jennifer certain that Julian doesn't dance salsa?
think,p,high_prior,Julian,Julian is Cuban.,Fact: Julian is Cuban. Sentence: Kathleen asks: Does Michelle think that Julian dances salsa? Question: Is Kathleen certain that Julian dances salsa?,Kathleen asks: Does Michelle think that Julian dances salsa?,Is Kathleen certain that Julian dances salsa?,Is Kathleen certain that Julian doesn't dance salsa?
polar,p,high_prior,Julian,Julian is Cuban.,Fact: Julian is Cuban. Sentence: Karen asks: Does Julian dance salsa? Question: Is Karen certain that Julian dances salsa?,Karen asks: Does Julian dance salsa?,Is Karen certain that Julian dances salsa?,
