"workerid","predicate","polarity","utterance","item","speaker_response","ah_response","prior_rating"
236,"know","neg","know-doesnt_dance-?","Jon_L",0.73,0.6,0.235696202531646
236,"say","pos","say-dances-?","Isabella_H",0.51,0.5,0.517707006369427
236,"know","pos","know-dances-?","Jackson_L",0.79,0.51,0.186013986013986
236,"think","neg","think-doesnt_dance-?","Emma_H",0.6,0.75,0.680763888888889
236,"inform","neg","inform-doesnt_dance-?","Mary_L",0.65,0.79,0.225401459854015
236,"Polar","Polar","BARE-dances-?","Danny_L",0.47,NA,0.27993006993007
236,"know","pos","know-dances-?","Josh_H",0.73,0.48,0.544575163398693
236,"think","pos","think-dances-?","Emily_H",0.65,0.53,0.561555555555556
236,"Polar","Polar","BARE-dances-?","Olivia_H",0.53,NA,0.664776119402985
236,"inform","pos","inform-dances-?","Tony_L",0.84,0.87,0.2196
236,"say","neg","say-doesnt_dance-?","Zoe_H",0.55,0.63,0.745971223021583
236,"say","neg","say-doesnt_dance-?","Frank_L",0.53,0.75,0.16965034965035
236,"think","neg","think-doesnt_dance-?","Owen_L",0.54,0.49,0.279503546099291
236,"think","pos","think-dances-?","Jayden_L",0.45,0.51,0.1756
265,"know","neg","know-doesnt_dance-?","Olivia_H",0.45,0.26,0.664776119402985
265,"inform","neg","inform-doesnt_dance-?","Frank_H",0.5,0.5,0.67972027972028
265,"inform","pos","inform-dances-?","Josh_L",0.47,0.48,0.236917293233083
265,"say","pos","say-dances-?","Danny_H",0.46,0.45,0.697062937062937
265,"say","pos","say-dances-?","Julian_L",0.49,0.49,0.401796875
265,"Polar","Polar","BARE-dances-?","Tony_H",0.49,NA,0.747279411764706
265,"know","pos","know-dances-?","Charley_H",0.5,0.48,0.804632352941177
265,"inform","pos","inform-dances-?","Emily_H",0.52,0.49,0.561555555555556
265,"know","pos","know-dances-?","Jackson_L",0.51,0.48,0.186013986013986
265,"say","neg","say-doesnt_dance-?","Zoe_L",0.5,0.49,0.192108843537415
265,"think","neg","think-doesnt_dance-?","Mary_L",0.51,0.49,0.225401459854015
265,"think","neg","think-doesnt_dance-?","Grace_H",0.49,0.51,0.790144927536232
265,"know","neg","know-doesnt_dance-?","Emma_L",0.49,0.49,0.323098591549296
265,"Polar","Polar","BARE-dances-?","Jon_L",0.48,NA,0.235696202531646
265,"think","pos","think-dances-?","Owen_H",0.49,0.48,0.74648275862069
265,"inform","neg","inform-doesnt_dance-?","Isabella_L",0.49,0.5,0.125813953488372
265,"say","neg","say-doesnt_dance-?","Josie_H",0.5,0.5,0.73343949044586
265,"think","pos","think-dances-?","Jayden_L",0.46,0.49,0.1756
308,"inform","pos","inform-dances-?","Josie_H",0.99,0.95,0.73343949044586
308,"think","pos","think-dances-?","Olivia_H",0.51,0.78,0.664776119402985
308,"know","pos","know-dances-?","Emily_H",0.91,0.26,0.561555555555556
308,"know","neg","know-doesnt_dance-?","Charley_L",0.85,0.27,0.277066666666667
308,"say","neg","say-doesnt_dance-?","Isabella_H",0.74,0.46,0.517707006369427
308,"think","pos","think-dances-?","Jayden_L",0.46,0.78,0.1756
308,"Polar","Polar","BARE-dances-?","Emma_L",0.21,NA,0.323098591549296
308,"inform","neg","inform-doesnt_dance-?","Josh_H",0.93,0.34,0.544575163398693
308,"know","neg","know-doesnt_dance-?","Jackson_H",0.95,0.01,0.774965034965035
308,"say","neg","say-doesnt_dance-?","Frank_L",0.35,0.82,0.16965034965035
308,"think","neg","think-doesnt_dance-?","Julian_H",0.84,0.79,0.599493670886076
308,"Polar","Polar","BARE-dances-?","Grace_H",0.2,NA,0.790144927536232
308,"say","pos","say-dances-?","Mary_H",0.18,0.84,0.815167785234899
308,"say","pos","say-dances-?","Jon_L",0.2,0.95,0.235696202531646
308,"think","neg","think-doesnt_dance-?","Tony_L",0.97,0.47,0.2196
308,"inform","pos","inform-dances-?","Owen_L",0.97,0.88,0.279503546099291
308,"inform","neg","inform-doesnt_dance-?","Zoe_L",0.04,0.06,0.192108843537415
308,"know","pos","know-dances-?","Danny_L",0.17,0,0.27993006993007
324,"know","neg","know-doesnt_dance-?","Tony_H",0.94,0.11,0.747279411764706
324,"say","pos","say-dances-?","Jackson_H",0.22,0.43,0.774965034965035
324,"inform","pos","inform-dances-?","Olivia_H",0.95,0.8,0.664776119402985
324,"inform","neg","inform-doesnt_dance-?","Josie_H",0.94,0.91,0.73343949044586
324,"Polar","Polar","BARE-dances-?","Emily_L",0.33,NA,0.151655629139073
324,"think","neg","think-doesnt_dance-?","Mary_H",0.13,0.64,0.815167785234899
324,"know","pos","know-dances-?","Zoe_H",0.93,0.25,0.745971223021583
324,"think","pos","think-dances-?","Charley_L",0.1,0.78,0.277066666666667
324,"say","pos","say-dances-?","Josh_L",0.2,0.71,0.236917293233083
324,"think","neg","think-doesnt_dance-?","Owen_L",0.91,0.28,0.279503546099291
324,"know","pos","know-dances-?","Julian_L",0.92,0.3,0.401796875
324,"Polar","Polar","BARE-dances-?","Frank_H",0.52,NA,0.67972027972028
324,"say","neg","say-doesnt_dance-?","Emma_H",0.32,0.63,0.680763888888889
324,"think","pos","think-dances-?","Isabella_H",0.12,0.83,0.517707006369427
324,"inform","pos","inform-dances-?","Grace_L",0.92,0.7,0.24777027027027
324,"inform","neg","inform-doesnt_dance-?","Jon_L",0.93,0.89,0.235696202531646
324,"say","neg","say-doesnt_dance-?","Danny_L",0.51,0.6,0.27993006993007
324,"know","neg","know-doesnt_dance-?","Jayden_L",0.03,0.38,0.1756
443,"know","neg","know-doesnt_dance-?","Grace_L",1,0.76,0.24777027027027
443,"Polar","Polar","BARE-dances-?","Emily_L",0,NA,0.151655629139073
443,"know","pos","know-dances-?","Owen_H",1,0,0.74648275862069
443,"Polar","Polar","BARE-dances-?","Emma_H",0,NA,0.680763888888889
443,"think","pos","think-dances-?","Josh_H",0,0.61,0.544575163398693
443,"inform","pos","inform-dances-?","Zoe_H",1,1,0.745971223021583
443,"say","neg","say-doesnt_dance-?","Josie_L",0.48,0.93,0.117286821705426
443,"inform","pos","inform-dances-?","Jayden_L",1,0.96,0.1756
443,"know","pos","know-dances-?","Danny_L",1,0.02,0.27993006993007
443,"inform","neg","inform-doesnt_dance-?","Olivia_L",0.86,0.28,0.210592105263158
443,"know","neg","know-doesnt_dance-?","Jon_H",1,0.12,0.7559375
443,"think","neg","think-doesnt_dance-?","Tony_H",0.33,0.73,0.747279411764706
443,"say","neg","say-doesnt_dance-?","Isabella_H",0.76,1,0.517707006369427
443,"think","neg","think-doesnt_dance-?","Julian_L",0.98,0.32,0.401796875
443,"say","pos","say-dances-?","Charley_H",0.22,0.8,0.804632352941177
443,"think","pos","think-dances-?","Mary_L",0.26,0.2,0.225401459854015
443,"inform","neg","inform-doesnt_dance-?","Frank_H",0.79,0.86,0.67972027972028
443,"say","pos","say-dances-?","Jackson_L",0.31,0.54,0.186013986013986
350,"inform","pos","inform-dances-?","Emily_L",0.91,0.88,0.151655629139073
350,"say","neg","say-doesnt_dance-?","Charley_H",0.49,0.34,0.804632352941177
350,"know","pos","know-dances-?","Jackson_L",0.85,0.2,0.186013986013986
350,"inform","neg","inform-doesnt_dance-?","Frank_H",0.76,0.7,0.67972027972028
350,"know","pos","know-dances-?","Josh_H",0.81,0.36,0.544575163398693
350,"think","neg","think-doesnt_dance-?","Olivia_L",0.28,0.56,0.210592105263158
350,"know","neg","know-doesnt_dance-?","Grace_L",0.82,0.33,0.24777027027027
350,"Polar","Polar","BARE-dances-?","Danny_L",0.49,NA,0.27993006993007
350,"Polar","Polar","BARE-dances-?","Mary_H",0.51,NA,0.815167785234899
350,"think","pos","think-dances-?","Julian_H",0.59,0.46,0.599493670886076
350,"think","neg","think-doesnt_dance-?","Jayden_H",0.58,0.66,0.687794117647059
350,"say","pos","say-dances-?","Jon_L",0.38,0.52,0.235696202531646
350,"inform","pos","inform-dances-?","Josie_H",0.76,0.76,0.73343949044586
350,"say","neg","say-doesnt_dance-?","Isabella_L",0.53,0.25,0.125813953488372
350,"think","pos","think-dances-?","Zoe_L",0.42,0.56,0.192108843537415
350,"inform","neg","inform-doesnt_dance-?","Tony_L",0.54,0.47,0.2196
350,"know","neg","know-doesnt_dance-?","Owen_H",0.62,0.44,0.74648275862069
350,"say","pos","say-dances-?","Emma_H",0.47,0.61,0.680763888888889
426,"think","pos","think-dances-?","Tony_H",0.63,0.5,0.747279411764706
426,"Polar","Polar","BARE-dances-?","Emily_L",0.41,NA,0.151655629139073
426,"think","neg","think-doesnt_dance-?","Grace_H",0.13,0.4,0.790144927536232
426,"think","pos","think-dances-?","Olivia_L",0.04,0.2,0.210592105263158
426,"know","pos","know-dances-?","Jayden_L",0.73,0.54,0.1756
426,"know","neg","know-doesnt_dance-?","Isabella_L",0.96,0.46,0.125813953488372
426,"think","neg","think-doesnt_dance-?","Charley_L",0.52,0.62,0.277066666666667
426,"say","neg","say-doesnt_dance-?","Julian_L",0.55,0.75,0.401796875
426,"know","neg","know-doesnt_dance-?","Owen_H",0.93,0.51,0.74648275862069
426,"inform","neg","inform-doesnt_dance-?","Zoe_L",0.98,0.96,0.192108843537415
426,"say","pos","say-dances-?","Jon_L",0.13,0.58,0.235696202531646
426,"say","pos","say-dances-?","Josie_H",0.76,0.96,0.73343949044586
426,"say","neg","say-doesnt_dance-?","Danny_H",0.5,0.61,0.697062937062937
426,"inform","neg","inform-doesnt_dance-?","Mary_H",0.94,0.95,0.815167785234899
426,"inform","pos","inform-dances-?","Emma_L",0.93,0.94,0.323098591549296
426,"know","pos","know-dances-?","Josh_H",0.96,0.5,0.544575163398693
426,"Polar","Polar","BARE-dances-?","Frank_H",0.51,NA,0.67972027972028
426,"inform","pos","inform-dances-?","Jackson_H",0.96,0.94,0.774965034965035
480,"inform","pos","inform-dances-?","Isabella_H",0.83,0.38,0.517707006369427
480,"Polar","Polar","BARE-dances-?","Olivia_H",0.34,NA,0.664776119402985
480,"think","pos","think-dances-?","Josie_L",0.13,0.5,0.117286821705426
480,"inform","pos","inform-dances-?","Julian_L",0.43,0.48,0.401796875
480,"Polar","Polar","BARE-dances-?","Josh_L",0.27,NA,0.236917293233083
480,"think","neg","think-doesnt_dance-?","Zoe_H",0.22,0.44,0.745971223021583
480,"think","pos","think-dances-?","Owen_H",0.55,0.51,0.74648275862069
480,"say","neg","say-doesnt_dance-?","Jon_L",0.71,0.86,0.235696202531646
480,"say","pos","say-dances-?","Frank_L",0.29,0.53,0.16965034965035
480,"know","pos","know-dances-?","Jayden_H",0.66,0.52,0.687794117647059
480,"know","neg","know-doesnt_dance-?","Tony_H",0.82,0.5,0.747279411764706
480,"inform","neg","inform-doesnt_dance-?","Jackson_H",0.77,0.55,0.774965034965035
480,"say","pos","say-dances-?","Charley_H",0.5,0.5,0.804632352941177
480,"say","neg","say-doesnt_dance-?","Emily_H",0.55,0.49,0.561555555555556
480,"inform","neg","inform-doesnt_dance-?","Mary_L",0.81,0.85,0.225401459854015
480,"think","neg","think-doesnt_dance-?","Grace_L",0.74,0.59,0.24777027027027
480,"know","neg","know-doesnt_dance-?","Emma_L",0.77,0.55,0.323098591549296
480,"know","pos","know-dances-?","Danny_L",0.68,0.48,0.27993006993007
321,"inform","pos","inform-dances-?","Danny_H",1,1,0.697062937062937
321,"think","neg","think-doesnt_dance-?","Olivia_L",0.62,0.55,0.210592105263158
321,"think","neg","think-doesnt_dance-?","Julian_H",0.73,0.76,0.599493670886076
321,"know","pos","know-dances-?","Grace_H",1,1,0.790144927536232
321,"know","pos","know-dances-?","Zoe_L",0.92,0.91,0.192108843537415
321,"Polar","Polar","BARE-dances-?","Emma_H",0.19,NA,0.680763888888889
321,"say","neg","say-doesnt_dance-?","Josh_L",0.77,0.67,0.236917293233083
321,"Polar","Polar","BARE-dances-?","Jayden_L",0.45,NA,0.1756
321,"inform","neg","inform-doesnt_dance-?","Frank_H",0.83,0.8,0.67972027972028
321,"say","pos","say-dances-?","Owen_H",0.89,0.91,0.74648275862069
321,"think","pos","think-dances-?","Charley_H",0.53,0.51,0.804632352941177
321,"know","neg","know-doesnt_dance-?","Tony_L",0.53,0.51,0.2196
321,"inform","neg","inform-doesnt_dance-?","Emily_L",1,0.84,0.151655629139073
321,"think","pos","think-dances-?","Isabella_L",0.1,0.75,0.125813953488372
321,"know","neg","know-doesnt_dance-?","Josie_H",1,0.51,0.73343949044586
321,"inform","pos","inform-dances-?","Mary_L",0.51,0.6,0.225401459854015
321,"say","pos","say-dances-?","Jon_L",0.41,0.59,0.235696202531646
321,"say","neg","say-doesnt_dance-?","Jackson_H",0.51,0.55,0.774965034965035
338,"inform","neg","inform-doesnt_dance-?","Josh_L",0.98,0.5,0.236917293233083
338,"Polar","Polar","BARE-dances-?","Jon_L",0.48,NA,0.235696202531646
338,"inform","pos","inform-dances-?","Danny_L",0.99,0.97,0.27993006993007
338,"say","pos","say-dances-?","Owen_H",0.45,0.53,0.74648275862069
338,"think","pos","think-dances-?","Mary_L",0.86,0,0.225401459854015
338,"know","pos","know-dances-?","Charley_L",0.91,0.68,0.277066666666667
338,"say","neg","say-doesnt_dance-?","Isabella_L",0.54,0.5,0.125813953488372
338,"think","pos","think-dances-?","Emily_H",0.63,0.13,0.561555555555556
338,"inform","pos","inform-dances-?","Jayden_H",0.83,0.98,0.687794117647059
338,"think","neg","think-doesnt_dance-?","Julian_L",0.43,0.57,0.401796875
338,"inform","neg","inform-doesnt_dance-?","Emma_H",0.94,0.92,0.680763888888889
338,"say","pos","say-dances-?","Grace_L",0.78,0.67,0.24777027027027
338,"know","neg","know-doesnt_dance-?","Olivia_L",0.77,0.78,0.210592105263158
338,"know","pos","know-dances-?","Jackson_H",0.78,0.65,0.774965034965035
338,"know","neg","know-doesnt_dance-?","Josie_H",0.73,0.38,0.73343949044586
338,"Polar","Polar","BARE-dances-?","Frank_H",0.57,NA,0.67972027972028
338,"say","neg","say-doesnt_dance-?","Zoe_H",0.21,0.3,0.745971223021583
338,"think","neg","think-doesnt_dance-?","Tony_H",0.24,0.29,0.747279411764706
282,"inform","neg","inform-doesnt_dance-?","Julian_H",0.97,1,0.599493670886076
282,"know","pos","know-dances-?","Josie_H",0.99,0.04,0.73343949044586
282,"think","pos","think-dances-?","Charley_H",0.15,0.88,0.804632352941177
282,"know","neg","know-doesnt_dance-?","Frank_L",0.98,0.26,0.16965034965035
282,"say","pos","say-dances-?","Tony_L",0.44,0.24,0.2196
282,"Polar","Polar","BARE-dances-?","Emma_L",0.42,NA,0.323098591549296
282,"inform","neg","inform-doesnt_dance-?","Grace_L",0.96,0.97,0.24777027027027
282,"think","pos","think-dances-?","Jon_L",0.13,0.61,0.235696202531646
282,"Polar","Polar","BARE-dances-?","Jayden_H",0.16,NA,0.687794117647059
282,"inform","pos","inform-dances-?","Zoe_L",0.61,0.37,0.192108843537415
282,"say","neg","say-doesnt_dance-?","Jackson_H",0.63,0.82,0.774965034965035
282,"know","pos","know-dances-?","Danny_L",0.89,0.81,0.27993006993007
282,"say","pos","say-dances-?","Olivia_H",0.74,0.67,0.664776119402985
282,"think","neg","think-doesnt_dance-?","Isabella_H",0.78,0.95,0.517707006369427
282,"inform","pos","inform-dances-?","Owen_H",0.86,0.78,0.74648275862069
282,"think","neg","think-doesnt_dance-?","Josh_L",0.85,0.49,0.236917293233083
282,"say","neg","say-doesnt_dance-?","Mary_L",0.5,0.97,0.225401459854015
282,"know","neg","know-doesnt_dance-?","Emily_H",0.96,0.18,0.561555555555556
582,"think","neg","think-doesnt_dance-?","Charley_H",1,1,0.804632352941177
582,"Polar","Polar","BARE-dances-?","Josie_H",0.83,NA,0.73343949044586
582,"think","pos","think-dances-?","Jackson_L",0.08,0.11,0.186013986013986
582,"say","neg","say-doesnt_dance-?","Mary_L",0.93,0.02,0.225401459854015
582,"think","neg","think-doesnt_dance-?","Julian_L",0.95,0.93,0.401796875
582,"inform","pos","inform-dances-?","Emma_L",0.94,0.09,0.323098591549296
582,"know","pos","know-dances-?","Grace_H",0.89,1,0.790144927536232
582,"inform","neg","inform-doesnt_dance-?","Emily_L",0.95,0.88,0.151655629139073
582,"say","neg","say-doesnt_dance-?","Danny_H",0.03,0.1,0.697062937062937
582,"know","pos","know-dances-?","Owen_L",1,0.96,0.279503546099291
582,"say","pos","say-dances-?","Zoe_H",1,0.97,0.745971223021583
582,"inform","neg","inform-doesnt_dance-?","Tony_H",0.22,0.12,0.747279411764706
582,"inform","pos","inform-dances-?","Isabella_H",0.85,0.14,0.517707006369427
582,"say","pos","say-dances-?","Jon_L",0.93,0.13,0.235696202531646
582,"know","neg","know-doesnt_dance-?","Frank_L",0.17,0.94,0.16965034965035
582,"Polar","Polar","BARE-dances-?","Olivia_L",0.2,NA,0.210592105263158
582,"think","pos","think-dances-?","Jayden_H",1,0.94,0.687794117647059
582,"know","neg","know-doesnt_dance-?","Josh_H",0.87,0.02,0.544575163398693
270,"know","neg","know-doesnt_dance-?","Zoe_H",1,0.04,0.745971223021583
270,"say","neg","say-doesnt_dance-?","Grace_L",0.21,0.53,0.24777027027027
270,"know","pos","know-dances-?","Isabella_L",0.99,0.28,0.125813953488372
270,"say","pos","say-dances-?","Emma_L",0.66,0.61,0.323098591549296
270,"think","neg","think-doesnt_dance-?","Olivia_L",0.24,0.13,0.210592105263158
270,"Polar","Polar","BARE-dances-?","Danny_L",0.53,NA,0.27993006993007
270,"think","pos","think-dances-?","Tony_H",0.78,0.38,0.747279411764706
270,"inform","pos","inform-dances-?","Julian_H",0.96,0.99,0.599493670886076
270,"think","pos","think-dances-?","Jackson_L",0.01,0.54,0.186013986013986
270,"say","pos","say-dances-?","Jayden_H",0.94,0.71,0.687794117647059
270,"say","neg","say-doesnt_dance-?","Jon_H",0.91,0.86,0.7559375
270,"know","neg","know-doesnt_dance-?","Frank_L",0.94,0.55,0.16965034965035
270,"Polar","Polar","BARE-dances-?","Owen_H",0.44,NA,0.74648275862069
270,"inform","neg","inform-doesnt_dance-?","Josie_H",0.97,0.95,0.73343949044586
270,"think","neg","think-doesnt_dance-?","Charley_H",0.02,0.9,0.804632352941177
270,"inform","pos","inform-dances-?","Mary_L",0.95,0.95,0.225401459854015
270,"know","pos","know-dances-?","Emily_H",0.97,0.25,0.561555555555556
270,"inform","neg","inform-doesnt_dance-?","Josh_L",0.99,0.97,0.236917293233083
412,"think","neg","think-doesnt_dance-?","Olivia_H",0,0.63,0.664776119402985
412,"know","pos","know-dances-?","Grace_L",1,0.51,0.24777027027027
412,"inform","pos","inform-dances-?","Julian_L",1,0.9,0.401796875
412,"say","neg","say-doesnt_dance-?","Josh_L",0.51,0.5,0.236917293233083
412,"know","pos","know-dances-?","Josie_H",1,0.5,0.73343949044586
412,"think","pos","think-dances-?","Emily_L",0.07,0.5,0.151655629139073
412,"know","neg","know-doesnt_dance-?","Charley_L",1,0.34,0.277066666666667
412,"inform","pos","inform-dances-?","Zoe_H",1,1,0.745971223021583
412,"know","neg","know-doesnt_dance-?","Tony_H",1,0.34,0.747279411764706
412,"Polar","Polar","BARE-dances-?","Jackson_H",0.64,NA,0.774965034965035
412,"think","pos","think-dances-?","Emma_H",0.4,0.66,0.680763888888889
412,"say","pos","say-dances-?","Owen_L",0,0.58,0.279503546099291
412,"say","neg","say-doesnt_dance-?","Danny_H",0.29,0.69,0.697062937062937
412,"Polar","Polar","BARE-dances-?","Mary_L",0.52,NA,0.225401459854015
412,"say","pos","say-dances-?","Jayden_H",0.54,0.5,0.687794117647059
412,"inform","neg","inform-doesnt_dance-?","Jon_L",0.99,0.22,0.235696202531646
412,"think","neg","think-doesnt_dance-?","Isabella_L",0.36,0.76,0.125813953488372
412,"inform","neg","inform-doesnt_dance-?","Frank_H",1,1,0.67972027972028
257,"say","pos","say-dances-?","Emma_L",0.03,0.02,0.323098591549296
257,"Polar","Polar","BARE-dances-?","Grace_H",0.11,NA,0.790144927536232
257,"say","neg","say-doesnt_dance-?","Frank_H",0.38,0.11,0.67972027972028
257,"think","pos","think-dances-?","Jon_H",0.07,0.23,0.7559375
257,"inform","pos","inform-dances-?","Jackson_L",0.4,0.68,0.186013986013986
257,"inform","neg","inform-doesnt_dance-?","Tony_H",0.47,0.61,0.747279411764706
257,"know","neg","know-doesnt_dance-?","Mary_H",0.15,0.1,0.815167785234899
257,"know","pos","know-dances-?","Owen_L",0.32,0.54,0.279503546099291
257,"know","neg","know-doesnt_dance-?","Jayden_L",0.51,0.38,0.1756
257,"think","pos","think-dances-?","Olivia_L",0.28,0.34,0.210592105263158
257,"inform","neg","inform-doesnt_dance-?","Emily_L",0.34,0.3,0.151655629139073
257,"say","neg","say-doesnt_dance-?","Josie_L",0.42,0.48,0.117286821705426
257,"inform","pos","inform-dances-?","Josh_H",0.61,0.43,0.544575163398693
257,"think","neg","think-doesnt_dance-?","Isabella_L",0.34,0.2,0.125813953488372
257,"think","neg","think-doesnt_dance-?","Danny_H",0.29,0.28,0.697062937062937
257,"know","pos","know-dances-?","Charley_H",0.25,0.32,0.804632352941177
257,"Polar","Polar","BARE-dances-?","Zoe_L",0.06,NA,0.192108843537415
257,"say","pos","say-dances-?","Julian_H",0.32,0.25,0.599493670886076
411,"know","neg","know-doesnt_dance-?","Mary_L",0.99,0.51,0.225401459854015
411,"Polar","Polar","BARE-dances-?","Charley_L",0.51,NA,0.277066666666667
411,"think","neg","think-doesnt_dance-?","Julian_L",0.14,0.51,0.401796875
411,"inform","neg","inform-doesnt_dance-?","Zoe_H",0.82,0.79,0.745971223021583
411,"say","neg","say-doesnt_dance-?","Josie_H",0.25,0.77,0.73343949044586
411,"inform","pos","inform-dances-?","Isabella_H",0.88,0.88,0.517707006369427
